Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	0	0	0	0	0	0	0	0	0	0	3
2	9	0	0.0179433483	0	0	0	0	0	0	0	0	0	0	3
3	10	0	0.0269150225	0	0	0	0	0	0	0	0	0	0	3
4	11	0	0.0358866967	0	0	0	0	0	0	0	0	0	0	3
5	12	0	0.0448583708	0	0	0	0	0	0	0	0	0	0	3
6	13	0	0.053830045	0	0	0	0	0	0	0	0	0	0	3
7	13	0	0.0628017192	0	0	0	0	0	0	0	0	0	0	3
8	14	0	0.0717733933	0	0	0	0	0	0	0	0	0	0	3
9	15	0	0.0807450675	0	0	0	0	0	0	0	0	0	0	3
10	16	0	0.0897167416	0	0	0	0	0	0	0	0	0	0	3
11	17	0	0.0986884158	0	0	0	0	0	0	0	0	0	0	3
12	17	0	0.10766009	0	0	0	0	0	0	0	0	0	0	3
13	18	0	0.116631764	0	0	0	0	0	0	0	0	0	0	3
14	19	0	0.125603438	0	0	0	0	0	0	0	0	0	0	3
15	20	0	0.134575112	0	0	0	0	0	0	0	0	0	0	3
16	21	0	0.143546787	0	0	0	0	0	0	0	0	0	0	3
17	21	0	0.152518461	0	0	0	0	0	0	0	0	0	0	3
