Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	101324.615	101324.615	101324.615	101324.615	0	0	0	0	0	0	3
2	9	0	0.0179433483	101324.041	101324.328	101324.041	101324.615	0.286895351	0	0	0	0	0	3
3	10	0	0.0269150225	101325.186	101324.614	101324.041	101325.186	0.286895351	0	0	0	0	0	3
4	11	0	0.0358866967	101325.128	101324.743	101324.041	101325.186	0.414477332	0	0	0	0	0	3
5	12	0	0.0448583708	101325.068	101324.808	101324.041	101325.186	0.479627971	0	0	0	0	0	3
6	13	0	0.053830045	101324.983	101324.837	101324.041	101325.186	0.508924228	0	0	0	0	0	3
7	13	0	0.0628017192	101325.076	101324.871	101324.041	101325.186	0.543093949	0	0	0	0	0	3
8	14	0	0.0717733933	101325.026	101324.89	101324.041	101325.186	0.562410916	0	0	0	0	0	3
9	15	0	0.0807450675	101325.096	101324.913	101324.041	101325.186	0.585248432	0	0	0	0	0	3
10	16	0	0.0897167416	101325.042	101324.926	101324.041	101325.186	0.598075725	0	0	0	0	0	3
11	17	0	0.0986884158	101325.098	101324.942	101324.041	101325.186	0.613708403	0	0	0	0	0	3
12	17	0	0.10766009	101325.064	101324.952	101324.041	101325.186	0.623873649	0	0	0	0	0	3
13	18	0	0.116631764	101325.114	101324.964	101324.041	101325.186	0.636346108	0	0	0	0	0	3
14	19	0	0.125603438	101325.088	101324.973	101324.041	101325.186	0.645176088	0	0	0	0	0	3
15	20	0	0.134575112	101325.123	101324.983	101324.041	101325.186	0.655141724	0	0	0	0	0	3
16	21	0	0.143546787	101325.114	101324.991	101324.041	101325.186	0.663292063	0	0	0	0	0	3
17	21	0	0.152518461	101325.132	101325	101324.041	101325.186	0.671564004	0	0	0	0	0	3
