Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	293.200084	293.200084	293.200084	293.200084	0	0	0	0	0	0	3
2	9	0	0.0179433483	293.200095	293.20009	293.200084	293.200095	5.77452113e-06	0	0	0	0	0	3
3	10	0	0.0269150225	293.200146	293.200108	293.200084	293.200146	2.46556016e-05	0	0	0	0	0	3
4	11	0	0.0358866967	293.200157	293.200121	293.200084	293.200157	3.68214818e-05	0	0	0	0	0	3
5	12	0	0.0448583708	293.200168	293.20013	293.200084	293.200168	4.62520991e-05	0	0	0	0	0	3
6	13	0	0.053830045	293.200185	293.200139	293.200084	293.200185	5.54805801e-05	0	0	0	0	0	3
7	13	0	0.0628017192	293.200213	293.20015	293.200084	293.200213	6.6051877e-05	0	0	0	0	0	3
8	14	0	0.0717733933	293.200236	293.200161	293.200084	293.200236	7.67767671e-05	0	0	0	0	0	3
9	15	0	0.0807450675	293.200263	293.200172	293.200084	293.200263	8.81179773e-05	0	0	0	0	0	3
10	16	0	0.0897167416	293.200284	293.200183	293.200084	293.200284	9.92951828e-05	0	0	0	0	0	3
11	17	0	0.0986884158	293.200321	293.200196	293.200084	293.200321	0.000111838017	0	0	0	0	0	3
12	17	0	0.10766009	293.200353	293.200209	293.200084	293.200353	0.000124915524	0	0	0	0	0	3
13	18	0	0.116631764	293.200387	293.200222	293.200084	293.200387	0.000138662962	0	0	0	0	0	3
14	19	0	0.125603438	293.200419	293.200237	293.200084	293.200419	0.000152692047	0	0	0	0	0	3
15	20	0	0.134575112	293.200453	293.200251	293.200084	293.200453	0.000167100641	0	0	0	0	0	3
16	21	0	0.143546787	293.2005	293.200266	293.200084	293.2005	0.000182646303	0	0	0	0	0	3
17	21	0	0.152518461	293.200548	293.200283	293.200084	293.200548	0.000199195364	0	0	0	0	0	3
