Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00897239991	-0.0653142952	-0.0653142952	-0.0653142952	-0.0653142952	0	0	0	0	0	0	3
2	14	0	0.0179447998	-0.0162395007	-0.040776898	-0.0653142952	-0.0162395007	0.0245373972	0	0	0	0	0	3
3	16	0	0.0269171997	-0.00914811211	-0.0302339693	-0.0653142952	-0.00914811211	0.0350803258	0	0	0	0	0	3
4	18	0	0.0358895996	-0.00624538176	-0.0242368224	-0.0653142952	-0.00624538176	0.0410774727	0	0	0	0	0	3
5	19	0	0.0448619995	-0.00631615271	-0.0206526885	-0.0653142952	-0.00624538176	0.0446616067	0	0	0	0	0	3
6	21	0	0.0538343994	-0.00597991884	-0.0182072269	-0.0653142952	-0.00597991884	0.0471070683	0	0	0	0	0	3
7	23	0	0.0628067993	-0.00554462398	-0.0163982836	-0.0653142952	-0.00554462398	0.0489160116	0	0	0	0	0	3
8	25	0	0.0717791993	-0.00587124652	-0.015082404	-0.0653142952	-0.00554462398	0.0502318912	0	0	0	0	0	3
9	26	0	0.0807515992	-0.00590003045	-0.0140621403	-0.0653142952	-0.00554462398	0.0512521549	0	0	0	0	0	3
10	28	0	0.0897239991	-0.00674974187	-0.0133309004	-0.0653142952	-0.00554462398	0.0519833948	0	0	0	0	0	3
11	30	0	0.098696399	-0.00638363992	-0.0126993313	-0.0653142952	-0.00554462398	0.0526149639	0	0	0	0	0	3
12	31	0	0.107668799	-0.00654060783	-0.0121861043	-0.0653142952	-0.00554462398	0.0531281909	0	0	0	0	0	3
13	33	0	0.116641199	-0.00596992918	-0.011707937	-0.0653142952	-0.00554462398	0.0536063582	0	0	0	0	0	3
14	35	0	0.125613599	-0.0061312609	-0.011309603	-0.0653142952	-0.00554462398	0.0540046922	0	0	0	0	0	3
15	36	0	0.134585999	-0.00602274573	-0.0109571458	-0.0653142952	-0.00554462398	0.0543571493	0	0	0	0	0	3
16	38	0	0.143558399	-0.00605991106	-0.0106510687	-0.0653142952	-0.00554462398	0.0546632265	0	0	0	0	0	3
17	39	0	0.152530798	-0.00592031565	-0.0103727891	-0.0653142952	-0.00554462398	0.0549415061	0	0	0	0	0	3
18	41	0	0.161503198	-0.00589446792	-0.0101239935	-0.0653142952	-0.00554462398	0.0551903017	0	0	0	0	0	3
19	42	0	0.170475598	-0.00590438074	-0.00990190858	-0.0653142952	-0.00554462398	0.0554123866	0	0	0	0	0	3
20	44	0	0.179447998	-0.00610275823	-0.00971195106	-0.0653142952	-0.00554462398	0.0556023441	0	0	0	0	0	3
21	45	0	0.188420398	-0.0060704656	-0.00953854699	-0.0653142952	-0.00554462398	0.0557757482	0	0	0	0	0	3
22	47	0	0.197392798	-0.00609377219	-0.00938196632	-0.0653142952	-0.00554462398	0.0559323289	0	0	0	0	0	3
23	48	0	0.206365198	-0.00610564492	-0.00923951757	-0.0653142952	-0.00554462398	0.0560747776	0	0	0	0	0	3
24	50	0	0.215337598	-0.00623662014	-0.00911439684	-0.0653142952	-0.00554462398	0.0561998983	0	0	0	0	0	3
25	51	0	0.224309998	-0.00620858459	-0.00899816435	-0.0653142952	-0.00554462398	0.0563161308	0	0	0	0	0	3
26	53	0	0.233282398	-0.00625865646	-0.00889279866	-0.0653142952	-0.00554462398	0.0564214965	0	0	0	0	0	3
27	54	0	0.242254797	-0.00620766032	-0.00879334909	-0.0653142952	-0.00554462398	0.0565209461	0	0	0	0	0	3
28	56	0	0.251227197	-0.00624614635	-0.00870237757	-0.0653142952	-0.00554462398	0.0566119176	0	0	0	0	0	3
29	57	0	0.260199597	-0.0061975641	-0.00861600469	-0.0653142952	-0.00554462398	0.0566982905	0	0	0	0	0	3
30	58	0	0.269171997	-0.00626690011	-0.0085377012	-0.0653142952	-0.00554462398	0.056776594	0	0	0	0	0	3
31	60	0	0.278144397	-0.0062207632	-0.00846296127	-0.0653142952	-0.00554462398	0.0568513339	0	0	0	0	0	3
32	62	0	0.287116797	-0.00627230478	-0.00839450325	-0.0653142952	-0.00554462398	0.0569197919	0	0	0	0	0	3
33	64	0	0.296089197	-0.00616723372	-0.00832701024	-0.0653142952	-0.00554462398	0.0569872849	0	0	0	0	0	3
34	65	0	0.305061597	-0.00622145996	-0.00826508229	-0.0653142952	-0.00554462398	0.0570492129	0	0	0	0	0	3
35	67	0	0.314033997	-0.00609701818	-0.0082031376	-0.0653142952	-0.00554462398	0.0571111576	0	0	0	0	0	3
36	69	0	0.323006397	-0.00609858566	-0.00814467782	-0.0653142952	-0.00554462398	0.0571696174	0	0	0	0	0	3
37	70	0	0.331978797	-0.0059601706	-0.00808563709	-0.0653142952	-0.00554462398	0.0572286581	0	0	0	0	0	3
38	71	0	0.340951196	-0.00596162115	-0.00802974193	-0.0653142952	-0.00554462398	0.0572845533	0	0	0	0	0	3
39	73	0	0.349923596	-0.0058410248	-0.00797362098	-0.0653142952	-0.00554462398	0.0573406742	0	0	0	0	0	3
40	74	0	0.358895996	-0.0058805794	-0.00792129494	-0.0653142952	-0.00554462398	0.0573930002	0	0	0	0	0	3
41	75	0	0.367868396	-0.00576452845	-0.00786869088	-0.0653142952	-0.00554462398	0.0574456043	0	0	0	0	0	3
