Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.00897167416	101324.825	101324.825	101324.825	101324.825	0	0	0	0	0	0	3
2	6	0	0.0179433483	101324.869	101324.847	101324.825	101324.869	0.0220079687	0	0	0	0	0	3
3	7	0	0.0269150225	101325.029	101324.908	101324.825	101325.029	0.0827590405	0	0	0	0	0	3
4	8	0	0.0358866967	101325.012	101324.934	101324.825	101325.029	0.108864864	0	0	0	0	0	3
5	9	0	0.0448583708	101325.019	101324.951	101324.825	101325.029	0.126004708	0	0	0	0	0	3
6	9	0	0.053830045	101324.996	101324.958	101324.825	101325.029	0.13352691	0	0	0	0	0	3
7	10	0	0.0628017192	101325.019	101324.967	101324.825	101325.029	0.142236823	0	0	0	0	0	3
8	11	0	0.0717733933	101325.004	101324.972	101324.825	101325.029	0.146868492	0	0	0	0	0	3
9	12	0	0.0807450675	101325.023	101324.977	101324.825	101325.029	0.152538235	0	0	0	0	0	3
10	12	0	0.0897167416	101325.007	101324.98	101324.825	101325.029	0.15549102	0	0	0	0	0	3
11	13	0	0.0986884158	101325.022	101324.984	101324.825	101325.029	0.1592976	0	0	0	0	0	3
12	14	0	0.10766009	101325.012	101324.986	101324.825	101325.029	0.161656645	0	0	0	0	0	3
13	15	0	0.116631764	101325.025	101324.989	101324.825	101325.029	0.16464447	0	0	0	0	0	3
14	15	0	0.125603438	101325.018	101324.991	101324.825	101325.029	0.166670819	0	0	0	0	0	3
15	16	0	0.134575112	101325.027	101324.994	101324.825	101325.029	0.169025164	0	0	0	0	0	3
16	17	0	0.143546787	101325.024	101324.996	101324.825	101325.029	0.170879613	0	0	0	0	0	3
17	18	0	0.152518461	101325.028	101324.998	101324.825	101325.029	0.172791807	0	0	0	0	0	3
18	18	0	0.161490135	101325.026	101324.999	101324.825	101325.029	0.174391069	0	0	0	0	0	3
19	19	0	0.170461809	101325.029	101325.001	101324.825	101325.029	0.175938597	0	0	0	0	0	3
20	20	0	0.179433483	101325.028	101325.002	101324.825	101325.029	0.177283707	0	0	0	0	0	3
21	21	0	0.188405157	101325.029	101325.003	101324.825	101325.029	0.178577326	0	0	0	0	0	3
22	21	0	0.197376832	101325.029	101325.005	101324.825	101325.029	0.179736651	0	0	0	0	0	3
23	22	0	0.206348506	101325.029	101325.006	101324.825	101325.029	0.180781478	0	0	0	0	0	3
24	23	0	0.21532018	101325.028	101325.007	101324.825	101325.029	0.181731092	0	0	0	0	0	3
25	24	0	0.224291854	101325.028	101325.007	101324.825	101325.029	0.182575698	0	0	0	0	0	3
26	24	0	0.233263528	101325.027	101325.008	101324.825	101325.029	0.183321371	0	0	0	0	0	3
27	25	0	0.242235202	101325.023	101325.009	101324.825	101325.029	0.183859962	0	0	0	0	0	3
28	26	0	0.251206877	101325.018	101325.009	101324.825	101325.029	0.184187171	0	0	0	0	0	3
29	27	0	0.260178551	101325.012	101325.009	101324.825	101325.029	0.184298771	0	0	0	0	0	3
30	27	0	0.269150225	101325.006	101325.009	101324.825	101325.029	0.184298771	0	0	0	0	0	3
31	28	0	0.278121899	101325	101325.009	101324.825	101325.029	0.184298771	0	0	0	0	0	3
32	29	0	0.287093573	101324.991	101325.008	101324.825	101325.029	0.184298771	0	0	0	0	0	3
33	30	0	0.296065247	101324.983	101325.007	101324.825	101325.029	0.184298771	0	0	0	0	0	3
34	31	0	0.305036922	101324.977	101325.007	101324.825	101325.029	0.184298771	0	0	0	0	0	3
35	31	0	0.314008596	101324.973	101325.006	101324.825	101325.029	0.184298771	0	0	0	0	0	3
36	32	0	0.32298027	101324.969	101325.005	101324.825	101325.029	0.184298771	0	0	0	0	0	3
37	33	0	0.331951944	101324.966	101325.004	101324.825	101325.029	0.184298771	0	0	0	0	0	3
38	34	0	0.340923618	101324.964	101325.002	101324.825	101325.029	0.184298771	0	0	0	0	0	3
39	34	0	0.349895292	101324.962	101325.001	101324.825	101325.029	0.184298771	0	0	0	0	0	3
40	35	0	0.358866967	101324.961	101325	101324.825	101325.029	0.184298771	0	0	0	0	0	3
41	36	0	0.367838641	101324.96	101324.999	101324.825	101325.029	0.184298771	0	0	0	0	0	3
42	37	0	0.376810315	101324.959	101324.999	101324.825	101325.029	0.184298771	0	0	0	0	0	3
43	38	0	0.385781989	101324.957	101324.998	101324.825	101325.029	0.184298771	0	0	0	0	0	3
44	38	0	0.394753663	101324.955	101324.997	101324.825	101325.029	0.184298771	0	0	0	0	0	3
45	39	0	0.403725337	101324.954	101324.996	101324.825	101325.029	0.184298771	0	0	0	0	0	3
46	40	0	0.412697012	101324.954	101324.995	101324.825	101325.029	0.184298771	0	0	0	0	0	3
47	41	0	0.421668686	101324.953	101324.994	101324.825	101325.029	0.184298771	0	0	0	0	0	3
48	42	0	0.43064036	101324.952	101324.993	101324.825	101325.029	0.184298771	0	0	0	0	0	3
49	42	0	0.439612034	101324.951	101324.992	101324.825	101325.029	0.184298771	0	0	0	0	0	3
50	43	0	0.448583708	101324.949	101324.991	101324.825	101325.029	0.184298771	0	0	0	0	0	3
51	44	0	0.457555382	101324.948	101324.99	101324.825	101325.029	0.184298771	0	0	0	0	0	3
52	45	0	0.466527057	101324.946	101324.99	101324.825	101325.029	0.184298771	0	0	0	0	0	3
53	46	0	0.475498731	101324.945	101324.989	101324.825	101325.029	0.184298771	0	0	0	0	0	3
54	46	0	0.484470405	101324.945	101324.988	101324.825	101325.029	0.184298771	0	0	0	0	0	3
55	47	0	0.493442079	101324.945	101324.987	101324.825	101325.029	0.184298771	0	0	0	0	0	3
56	48	0	0.502413753	101324.945	101324.986	101324.825	101325.029	0.184298771	0	0	0	0	0	3
57	49	0	0.511385427	101324.945	101324.989	101324.869	101325.029	0.160433774	0	0	0	0	0	3
58	49	0	0.520357102	101324.944	101324.99	101324.944	101325.029	0.0849970888	0	0	0	0	0	3
59	50	0	0.529328776	101324.943	101324.988	101324.943	101325.029	0.0754339076	0	0	0	0	0	3
60	51	0	0.53830045	101324.942	101324.987	101324.942	101325.029	0.0582940629	0	0	0	0	0	3
61	52	0	0.547272124	101324.941	101324.986	101324.941	101325.029	0.0507718609	0	0	0	0	0	3
62	53	0	0.556243798	101324.94	101324.985	101324.94	101325.029	0.0420619481	0	0	0	0	0	3
63	53	0	0.565215472	101324.939	101324.983	101324.939	101325.029	0.0374302796	0	0	0	0	0	3
64	54	0	0.574187147	101324.938	101324.982	101324.938	101325.029	0.031760536	0	0	0	0	0	3
65	55	0	0.583158821	101324.938	101324.981	101324.938	101325.029	0.0288077509	0	0	0	0	0	3
66	56	0	0.592130495	101324.938	101324.979	101324.938	101325.029	0.0297908339	0	0	0	0	0	3
67	57	0	0.601102169	101324.938	101324.978	101324.938	101325.029	0.0312995803	0	0	0	0	0	3
68	57	0	0.610073843	101324.938	101324.976	101324.938	101325.029	0.0326342578	0	0	0	0	0	3
69	58	0	0.619045517	101324.938	101324.975	101324.938	101325.029	0.0341951356	0	0	0	0	0	3
70	59	0	0.628017192	101324.938	101324.973	101324.938	101325.029	0.0356227539	0	0	0	0	0	3
71	60	0	0.636988866	101324.938	101324.972	101324.938	101325.029	0.0372150903	0	0	0	0	0	3
72	60	0	0.64596054	101324.937	101324.97	101324.937	101325.029	0.0387580354	0	0	0	0	0	3
73	61	0	0.654932214	101324.937	101324.969	101324.937	101325.029	0.0403942052	0	0	0	0	0	3
74	62	0	0.663903888	101324.936	101324.967	101324.936	101325.029	0.0420098648	0	0	0	0	0	3
75	63	0	0.672875562	101324.936	101324.965	101324.936	101325.029	0.0436721479	0	0	0	0	0	3
76	64	0	0.681847237	101324.935	101324.964	101324.935	101325.029	0.045321209	0	0	0	0	0	3
77	64	0	0.690818911	101324.935	101324.962	101324.935	101325.029	0.0470022483	0	0	0	0	0	3
78	65	0	0.699790585	101324.935	101324.96	101324.935	101325.029	0.0486798796	0	0	0	0	0	3
79	66	0	0.708762259	101324.935	101324.959	101324.935	101325.028	0.0503580051	0	0	0	0	0	3
80	67	0	0.717733933	101324.934	101324.957	101324.934	101325.028	0.0520374861	0	0	0	0	0	3
81	67	0	0.726705607	101324.934	101324.955	101324.934	101325.027	0.0537036181	0	0	0	0	0	3
82	68	0	0.735677282	101324.934	101324.954	101324.934	101325.023	0.0553581914	0	0	0	0	0	3
83	69	0	0.744648956	101324.933	101324.952	101324.933	101325.018	0.0569540574	0	0	0	0	0	3
84	70	0	0.75362063	101324.932	101324.951	101324.932	101325.012	0.0584864452	0	0	0	0	0	3
85	71	0	0.762592304	101324.93	101324.949	101324.93	101325.006	0.0598578687	0	0	0	0	0	3
86	71	0	0.771563978	101324.929	101324.948	101324.929	101325	0.060959363	0	0	0	0	0	3
87	72	0	0.780535652	101324.928	101324.946	101324.928	101324.991	0.061702024	0	0	0	0	0	3
88	73	0	0.789507327	101324.926	101324.945	101324.926	101324.983	0.0567151594	0	0	0	0	0	3
89	74	0	0.798479001	101324.926	101324.944	101324.926	101324.977	0.0514727766	0	0	0	0	0	3
90	74	0	0.807450675	101324.926	101324.943	101324.926	101324.973	0.0470177767	0	0	0	0	0	3
91	75	0	0.816422349	101324.927	101324.943	101324.926	101324.969	0.0435818556	0	0	0	0	0	3
92	76	0	0.825394023	101324.929	101324.942	101324.926	101324.966	0.040597781	0	0	0	0	0	3
93	77	0	0.834365697	101324.929	101324.941	101324.926	101324.964	0.0380238378	0	0	0	0	0	3
94	78	0	0.843337372	101324.929	101324.941	101324.926	101324.962	0.0364125004	0	0	0	0	0	3
95	78	0	0.852309046	101324.929	101324.94	101324.926	101324.961	0.0354240058	0	0	0	0	0	3
96	79	0	0.86128072	101324.929	101324.939	101324.926	101324.96	0.0344109872	0	0	0	0	0	3
97	80	0	0.870252394	101324.929	101324.939	101324.926	101324.959	0.0332425859	0	0	0	0	0	3
98	81	0	0.879224068	101324.929	101324.938	101324.926	101324.957	0.0313546813	0	0	0	0	0	3
99	82	0	0.888195742	101324.928	101324.938	101324.926	101324.955	0.0295835026	0	0	0	0	0	3
100	82	0	0.897167416	101324.928	101324.937	101324.926	101324.954	0.0286180564	0	0	0	0	0	3
101	87	0	0.906139091	101324.929	101324.937	101324.926	101324.954	0.0278436533	0	0	0	0	0	3
102	88	0	0.915110765	101324.93	101324.936	101324.926	101324.953	0.0269242338	0	0	0	0	0	3
103	89	0	0.924082439	101324.932	101324.936	101324.926	101324.952	0.026314316	0	0	0	0	0	3
104	90	0	0.933054113	101324.933	101324.936	101324.926	101324.951	0.0251977658	0	0	0	0	0	3
105	90	0	0.942025787	101324.934	101324.935	101324.926	101324.949	0.023624711	0	0	0	0	0	3
106	91	0	0.950997461	101324.934	101324.935	101324.926	101324.948	0.0219310284	0	0	0	0	0	3
107	92	0	0.959969136	101324.934	101324.935	101324.926	101324.946	0.0202946367	0	0	0	0	0	3
108	93	0	0.96894081	101324.933	101324.935	101324.926	101324.945	0.0195033714	0	0	0	0	0	3
109	94	0	0.977912484	101324.932	101324.934	101324.926	101324.945	0.0191371511	0	0	0	0	0	3
110	94	0	0.986884158	101324.932	101324.934	101324.926	101324.945	0.0191371511	0	0	0	0	0	3
111	95	0	0.995855832	101324.932	101324.934	101324.926	101324.945	0.01905818	0	0	0	0	0	3
112	96	0	1.00482751	101324.933	101324.934	101324.926	101324.945	0.01903606	0.00310503859	0	0	0	0	3
113	97	0	1.01379918	101324.934	101324.934	101324.926	101324.944	0.0185041974	0.00310503859	0	0	0	0	3
114	98	0	1.02277085	101324.934	101324.933	101324.926	101324.943	0.0177035599	0.00310503859	0	0	0	0	3
115	98	0	1.03174253	101324.935	101324.933	101324.926	101324.942	0.0163266091	0.00310503859	0	0	0	0	3
116	99	0	1.0407142	101324.935	101324.933	101324.926	101324.941	0.0153976408	0.00310503859	0	0	0	0	3
117	100	0	1.04968588	101324.935	101324.933	101324.926	101324.94	0.0140893787	0.00310503859	0	0	0	0	3
118	101	0	1.05865755	101324.934	101324.933	101324.926	101324.939	0.0133149909	0.00310503859	0	0	0	0	3
119	102	0	1.06762923	101324.934	101324.933	101324.926	101324.938	0.0124882211	0.00310503859	0	0	0	0	3
120	102	0	1.0766009	101324.934	101324.933	101324.926	101324.938	0.0124071973	0.00310503859	0	0	0	0	3
121	103	0	1.08557257	101324.933	101324.933	101324.926	101324.938	0.0121407886	0.00310503859	0	0	0	0	3
122	104	0	1.09454425	101324.933	101324.933	101324.926	101324.938	0.0121407886	0.00310503859	0	0	0	0	3
123	105	0	1.10351592	101324.933	101324.932	101324.926	101324.938	0.0121407886	0.00310503859	0	0	0	0	3
124	106	0	1.1124876	101324.933	101324.932	101324.926	101324.938	0.0121407886	0.00310503859	0	0	0	0	3
125	107	0	1.12145927	101324.933	101324.932	101324.926	101324.938	0.0121183057	0.00310503859	0	0	0	0	3
126	107	0	1.13043094	101324.933	101324.932	101324.926	101324.938	0.0118667287	0.00310503859	0	0	0	0	3
127	108	0	1.13940262	101324.932	101324.932	101324.926	101324.937	0.0113430026	0.00310503859	0	0	0	0	3
128	109	0	1.14837429	101324.932	101324.932	101324.926	101324.937	0.0108129803	0.00310503859	0	0	0	0	3
129	110	0	1.15734597	101324.931	101324.932	101324.926	101324.936	0.0101531612	0.00310503859	0	0	0	0	3
130	110	0	1.16631764	101324.931	101324.932	101324.926	101324.936	0.00975782154	0.00310503859	0	0	0	0	3
131	111	0	1.17528932	101324.931	101324.932	101324.926	101324.935	0.00954495197	0.00310503859	0	0	0	0	3
132	112	0	1.18426099	101324.931	101324.932	101324.926	101324.935	0.00936308398	0.00310503859	0	0	0	0	3
133	113	0	1.19323266	101324.931	101324.932	101324.926	101324.935	0.00918669043	0.00310503859	0	0	0	0	3
134	114	0	1.20220434	101324.931	101324.932	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
135	114	0	1.21117601	101324.931	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
136	115	0	1.22014769	101324.931	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
137	116	0	1.22911936	101324.931	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
138	117	0	1.23809103	101324.931	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
139	118	0	1.24706271	101324.932	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
140	118	0	1.25603438	101324.931	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
141	119	0	1.26500606	101324.93	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
142	120	0	1.27397773	101324.93	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
143	121	0	1.28294941	101324.931	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
144	122	0	1.29192108	101324.932	101324.931	101324.926	101324.935	0.00910995872	0.00310503859	0	0	0	0	3
145	122	0	1.30089275	101324.933	101324.932	101324.926	101324.935	0.00883274041	0.00310503859	0	0	0	0	3
146	123	0	1.30986443	101324.934	101324.932	101324.927	101324.935	0.00752321407	0.00310503859	0	0	0	0	3
147	124	0	1.3188361	101324.933	101324.932	101324.928	101324.935	0.00699936364	0.00310503859	0	0	0	0	3
148	125	0	1.32780778	101324.932	101324.932	101324.928	101324.935	0.00699936364	0.00310503859	0	0	0	0	3
149	126	0	1.33677945	101324.931	101324.932	101324.928	101324.935	0.00699936364	0.00310503859	0	0	0	0	3
150	126	0	1.34575112	101324.931	101324.932	101324.928	101324.935	0.00699936364	0.00310503859	0	0	0	0	3
151	127	0	1.3547228	101324.931	101324.932	101324.928	101324.935	0.00699936364	0.00310503859	0	0	0	0	3
152	128	0	1.36369447	101324.932	101324.932	101324.928	101324.935	0.00699936364	0.00310503859	0	0	0	0	3
153	129	0	1.37266615	101324.932	101324.932	101324.928	101324.935	0.00699936364	0.00310503859	0	0	0	0	3
154	130	0	1.38163782	101324.932	101324.932	101324.928	101324.935	0.00658890739	0.00310503859	0	0	0	0	3
155	130	0	1.3906095	101324.932	101324.932	101324.928	101324.935	0.00609831975	0.00310503859	0	0	0	0	3
156	131	0	1.39958117	101324.932	101324.932	101324.929	101324.935	0.00564137455	0.00310503859	0	0	0	0	3
157	132	0	1.40855284	101324.933	101324.932	101324.93	101324.935	0.00466125604	0.00310503859	0	0	0	0	3
158	133	0	1.41752452	101324.933	101324.932	101324.93	101324.935	0.00461335234	0.00310503859	0	0	0	0	3
159	134	0	1.42649619	101324.934	101324.932	101324.93	101324.935	0.00451838475	0.00310503859	0	0	0	0	3
160	134	0	1.43546787	101324.933	101324.932	101324.93	101324.935	0.00421850925	0.00310503859	0	0	0	0	3
161	135	0	1.44443954	101324.933	101324.932	101324.93	101324.935	0.00395065037	0.00310503859	0	0	0	0	3
162	136	0	1.45341121	101324.933	101324.932	101324.93	101324.935	0.00370588269	0.00310503859	0	0	0	0	3
163	137	0	1.46238289	101324.933	101324.932	101324.93	101324.935	0.00347371033	0.00310503859	0	0	0	0	3
164	138	0	1.47135456	101324.933	101324.932	101324.93	101324.935	0.00324486094	0.00310503859	0	0	0	0	3
165	139	0	1.48032624	101324.934	101324.932	101324.93	101324.935	0.00302085903	0.00310503859	0	0	0	0	3
166	139	0	1.48929791	101324.935	101324.932	101324.93	101324.935	0.00279633829	0.00310503859	0	0	0	0	3
167	140	0	1.49826959	101324.935	101324.932	101324.93	101324.935	0.00258290814	0.00310503859	0	0	0	0	3
168	141	0	1.50724126	101324.935	101324.932	101324.93	101324.935	0.00238205244	0.00310503859	0	0	0	0	3
169	142	0	1.51621293	101324.934	101324.933	101324.93	101324.935	0.00220104922	0.00310503859	0	0	0	0	3
170	142	0	1.52518461	101324.933	101324.932	101324.93	101324.935	0.00204156328	0.00310503859	0	0	0	0	3
171	143	0	1.53415628	101324.933	101324.932	101324.93	101324.935	0.00190724579	0.00310503859	0	0	0	0	3
