Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00897167416	33.8308654	33.8308654	33.8308654	33.8308654	0	0	0	0	0	0	3
2	7	0	0.0179433483	6.10639038	19.9686279	6.10639038	33.8308654	13.8622375	0	0	0	0	0	3
3	8	0	0.0269150225	4.02310037	14.6534521	4.02310037	33.8308654	19.1774134	0	0	0	0	0	3
4	9	0	0.0358866967	1.63565953	11.3990039	1.63565953	33.8308654	22.4318615	0	0	0	0	0	3
5	9	0	0.0448583708	3.40675008	9.80055315	1.63565953	33.8308654	24.0303123	0	0	0	0	0	3
6	10	0	0.053830045	1.61787298	8.43677312	1.61787298	33.8308654	25.3940923	0	0	0	0	0	3
7	11	0	0.0628017192	2.83439662	7.63643362	1.61787298	33.8308654	26.1944318	0	0	0	0	0	3
8	12	0	0.0717733933	1.50773897	6.87034679	1.50773897	33.8308654	26.9605186	0	0	0	0	0	3
9	12	0	0.0807450675	2.59149093	6.39491836	1.50773897	33.8308654	27.4359471	0	0	0	0	0	3
10	13	0	0.0897167416	1.51646681	5.90707321	1.50773897	33.8308654	27.9237922	0	0	0	0	0	3
11	14	0	0.0986884158	2.30541775	5.57964998	1.50773897	33.8308654	28.2512154	0	0	0	0	0	3
12	15	0	0.10766009	1.73215279	5.25902522	1.50773897	33.8308654	28.5718402	0	0	0	0	0	3
13	16	0	0.116631764	2.23454607	5.02637297	1.50773897	33.8308654	28.8044924	0	0	0	0	0	3
14	16	0	0.125603438	1.84669604	4.79925319	1.50773897	33.8308654	29.0316122	0	0	0	0	0	3
15	17	0	0.134575112	2.15157122	4.62274106	1.50773897	33.8308654	29.2081244	0	0	0	0	0	3
16	18	0	0.143546787	1.93689753	4.45487584	1.50773897	33.8308654	29.3759896	0	0	0	0	0	3
17	19	0	0.152518461	2.02733192	4.31207914	1.50773897	33.8308654	29.5187863	0	0	0	0	0	3
18	19	0	0.161490135	1.92196817	4.1792952	1.50773897	33.8308654	29.6515702	0	0	0	0	0	3
19	20	0	0.170461809	1.93708398	4.06128408	1.50773897	33.8308654	29.7695813	0	0	0	0	0	3
20	21	0	0.179433483	1.88274908	3.95235733	1.50773897	33.8308654	29.8785081	0	0	0	0	0	3
21	21	0	0.188405157	1.86975551	3.85318582	1.50773897	33.8308654	29.9776796	0	0	0	0	0	3
22	22	0	0.197376832	1.84573973	3.76193827	1.50773897	33.8308654	30.0689271	0	0	0	0	0	3
23	23	0	0.206348506	1.82481617	3.67771557	1.50773897	33.8308654	30.1531498	0	0	0	0	0	3
24	24	0	0.21532018	1.81103977	3.59993741	1.50773897	33.8308654	30.230928	0	0	0	0	0	3
