Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00897264187	0.130223543	0.130223543	0.130223543	0.130223543	0	0	0	0	0	0	3
2	7	0	0.0179452837	0.0366675436	0.0834455435	0.0366675436	0.130223543	0.0467779999	0	0	0	0	0	3
3	8	0	0.0269179256	0.0233974986	0.0634295285	0.0233974986	0.130223543	0.0667940149	0	0	0	0	0	3
4	8	0	0.0358905675	0.0154346937	0.0514308198	0.0154346937	0.130223543	0.0787927236	0	0	0	0	0	3
5	9	0	0.0448632094	0.0153257748	0.0442098108	0.0153257748	0.130223543	0.0860137326	0	0	0	0	0	3
6	10	0	0.0538358512	0.0155430562	0.0394320184	0.0153257748	0.130223543	0.090791525	0	0	0	0	0	3
7	11	0	0.0628084931	0.0153288025	0.0359887018	0.0153257748	0.130223543	0.0942348416	0	0	0	0	0	3
8	11	0	0.071781135	0.0152387593	0.033394959	0.0152387593	0.130223543	0.0968285844	0	0	0	0	0	3
9	12	0	0.0807537769	0.0150922118	0.0313613204	0.0150922118	0.130223543	0.098862223	0	0	0	0	0	3
10	13	0	0.0897264187	0.0171682409	0.0299420125	0.0150922118	0.130223543	0.100281531	0	0	0	0	0	3
11	14	0	0.0986990606	0.0169936526	0.0287648888	0.0150922118	0.130223543	0.101458655	0	0	0	0	0	3
12	14	0	0.107671702	0.0171765663	0.0277991953	0.0150922118	0.130223543	0.102424348	0	0	0	0	0	3
13	15	0	0.116644344	0.0159405669	0.0268869931	0.0150922118	0.130223543	0.10333655	0	0	0	0	0	3
14	16	0	0.125616986	0.0162722084	0.0261287942	0.0150922118	0.130223543	0.104094749	0	0	0	0	0	3
15	17	0	0.134589628	0.015521228	0.0254216231	0.0150922118	0.130223543	0.10480192	0	0	0	0	0	3
16	17	0	0.14356227	0.0156951307	0.0248137173	0.0150922118	0.130223543	0.105409826	0	0	0	0	0	3
17	18	0	0.152534912	0.015119967	0.0242434967	0.0150922118	0.130223543	0.105980047	0	0	0	0	0	3
18	19	0	0.161507554	0.015757857	0.0237720723	0.0150922118	0.130223543	0.106451471	0	0	0	0	0	3
19	20	0	0.170480196	0.0154602973	0.0233346105	0.0150922118	0.130223543	0.106888933	0	0	0	0	0	3
20	20	0	0.179452837	0.0158330735	0.0229595336	0.0150922118	0.130223543	0.10726401	0	0	0	0	0	3
21	21	0	0.188425479	0.0156195053	0.0226100085	0.0150922118	0.130223543	0.107613535	0	0	0	0	0	3
22	22	0	0.197398121	0.0161884736	0.0223181205	0.0150922118	0.130223543	0.107905423	0	0	0	0	0	3
23	23	0	0.206370763	0.0162546202	0.0220544901	0.0150922118	0.130223543	0.108169053	0	0	0	0	0	3
24	23	0	0.215343405	0.0165891357	0.021826767	0.0150922118	0.130223543	0.108396776	0	0	0	0	0	3
25	24	0	0.224316047	0.0166210858	0.0216185397	0.0150922118	0.130223543	0.108605004	0	0	0	0	0	3
26	25	0	0.233288689	0.0168042925	0.0214333764	0.0150922118	0.130223543	0.108790167	0	0	0	0	0	3
27	26	0	0.242261331	0.0167338649	0.0212593204	0.0150922118	0.130223543	0.108964223	0	0	0	0	0	3
28	27	0	0.251233972	0.0169009818	0.0211036654	0.0150922118	0.130223543	0.109119878	0	0	0	0	0	3
29	27	0	0.260206614	0.0167877087	0.0209548393	0.0150922118	0.130223543	0.109268704	0	0	0	0	0	3
30	28	0	0.269179256	0.0169712204	0.020822052	0.0150922118	0.130223543	0.109401491	0	0	0	0	0	3
31	29	0	0.278151898	0.016849464	0.020693904	0.0150922118	0.130223543	0.109529639	0	0	0	0	0	3
32	30	0	0.28712454	0.0169452409	0.0205767583	0.0150922118	0.130223543	0.109646785	0	0	0	0	0	3
33	30	0	0.296097182	0.0167820366	0.0204617667	0.0150922118	0.130223543	0.109761777	0	0	0	0	0	3
34	31	0	0.305069824	0.0168642518	0.0203559575	0.0150922118	0.130223543	0.109867586	0	0	0	0	0	3
35	32	0	0.314042466	0.016693152	0.0202513059	0.0150922118	0.130223543	0.109972237	0	0	0	0	0	3
36	33	0	0.323015107	0.0167133911	0.0201530305	0.0150922118	0.130223543	0.110070513	0	0	0	0	0	3
37	34	0	0.331987749	0.016537723	0.0200553195	0.0150922118	0.130223543	0.110168224	0	0	0	0	0	3
38	34	0	0.340960391	0.0164953438	0.0199616359	0.0150922118	0.130223543	0.110261907	0	0	0	0	0	3
39	35	0	0.349933033	0.0163746138	0.019869661	0.0150922118	0.130223543	0.110353882	0	0	0	0	0	3
40	36	0	0.358905675	0.016287462	0.019780106	0.0150922118	0.130223543	0.110443437	0	0	0	0	0	3
41	37	0	0.367878317	0.0161326258	0.0196911431	0.0150922118	0.130223543	0.1105324	0	0	0	0	0	3
42	38	0	0.376850959	0.0161320551	0.0196064029	0.0150922118	0.130223543	0.110617141	0	0	0	0	0	3
43	38	0	0.385823601	0.0159684147	0.0195217985	0.0150922118	0.130223543	0.110701745	0	0	0	0	0	3
44	39	0	0.394796242	0.0158523874	0.0194384028	0.0150922118	0.130223543	0.110785141	0	0	0	0	0	3
45	40	0	0.403768884	0.0159503145	0.0193608897	0.0150922118	0.130223543	0.110862654	0	0	0	0	0	3
46	41	0	0.412741526	0.0156850443	0.01928098	0.0150922118	0.130223543	0.110942563	0	0	0	0	0	3
47	41	0	0.421714168	0.0158382508	0.0192077305	0.0150922118	0.130223543	0.111015813	0	0	0	0	0	3
48	42	0	0.43068681	0.0156259873	0.0191331108	0.0150922118	0.130223543	0.111090433	0	0	0	0	0	3
49	43	0	0.439659452	0.0157460864	0.0190639879	0.0150922118	0.130223543	0.111159556	0	0	0	0	0	3
50	44	0	0.448632094	0.015487937	0.0189924669	0.0150922118	0.130223543	0.111231077	0	0	0	0	0	3
51	45	0	0.457604736	0.0156708187	0.0189273365	0.0150922118	0.130223543	0.111296207	0	0	0	0	0	3
52	45	0	0.466577377	0.0154118778	0.0188597315	0.0150922118	0.130223543	0.111363812	0	0	0	0	0	3
