Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.00897215797	293.200014	293.200014	293.200014	293.200014	0	0	0	0	0	0	3
2	11	0	0.0179443159	293.200017	293.200015	293.200014	293.200017	1.41551857e-06	0	0	0	0	0	3
3	12	0	0.0269164739	293.200019	293.200017	293.200014	293.200019	2.6450092e-06	0	0	0	0	0	3
4	14	0	0.0358886319	293.20002	293.200017	293.200014	293.20002	3.59202045e-06	0	0	0	0	0	3
5	16	0	0.0448607898	293.200022	293.200018	293.200014	293.200022	4.5018698e-06	0	0	0	0	0	3
6	17	0	0.0538329478	293.200024	293.200019	293.200014	293.200024	5.48038901e-06	0	0	0	0	0	3
7	19	0	0.0628051058	293.200028	293.200021	293.200014	293.200028	6.67438803e-06	0	0	0	0	0	3
8	20	0	0.0717772637	293.20003	293.200022	293.200014	293.20003	7.90740148e-06	0	0	0	0	0	3
9	22	0	0.0807494217	293.200034	293.200023	293.200014	293.200034	9.25494953e-06	0	0	0	0	0	3
10	24	0	0.0897215797	293.200037	293.200024	293.200014	293.200037	1.05946333e-05	0	0	0	0	0	3
11	26	0	0.0986937376	293.200041	293.200026	293.200014	293.200041	1.21399145e-05	0	0	0	0	0	3
12	27	0	0.107665896	293.200045	293.200028	293.200014	293.200045	1.37638667e-05	0	0	0	0	0	3
13	29	0	0.116638054	293.20005	293.200029	293.200014	293.20005	1.54875151e-05	0	0	0	0	0	3
14	30	0	0.125610212	293.200054	293.200031	293.200014	293.200054	1.72539334e-05	0	0	0	0	0	3
15	32	0	0.13458237	293.200058	293.200033	293.200014	293.200058	1.90749038e-05	0	0	0	0	0	3
16	34	0	0.143554527	293.200064	293.200035	293.200014	293.200064	2.1046228e-05	0	0	0	0	0	3
17	35	0	0.152526685	293.200071	293.200037	293.200014	293.200071	2.31502676e-05	0	0	0	0	0	3
18	37	0	0.161498843	293.200077	293.200039	293.200014	293.200077	2.53475076e-05	0	0	0	0	0	3
19	39	0	0.170471001	293.200082	293.200041	293.200014	293.200082	2.76238293e-05	0	0	0	0	0	3
20	40	0	0.179443159	293.200088	293.200044	293.200014	293.200088	2.99579855e-05	0	0	0	0	0	3
21	42	0	0.188415317	293.200097	293.200046	293.200014	293.200097	3.24695699e-05	0	0	0	0	0	3
22	43	0	0.197387475	293.200105	293.200049	293.200014	293.200105	3.51219014e-05	0	0	0	0	0	3
23	45	0	0.206359633	293.200112	293.200052	293.200014	293.200112	3.78820609e-05	0	0	0	0	0	3
24	46	0	0.215331791	293.20012	293.200055	293.200014	293.20012	4.07233975e-05	0	0	0	0	0	3
