Iteration	CPUTime	PhysTime	Travels
1	7	0	0.00897179511
2	8	0	0.0179435902
3	9	0	0.0269153853
4	10	0	0.0358871804
5	12	0	0.0448589755
6	13	0	0.0538307706
7	14	0	0.0628025657
8	15	0	0.0717743608
9	16	0	0.080746156
10	17	0	0.0897179511
11	19	0	0.0986897462
12	20	0	0.107661541
13	21	0	0.116633336
14	22	0	0.125605131
15	23	0	0.134576927
16	24	0	0.143548722
17	26	0	0.152520517
18	27	0	0.161492312
19	28	0	0.170464107
20	29	0	0.179435902
21	30	0	0.188407697
22	32	0	0.197379492
23	33	0	0.206351287
24	34	0	0.215323083
25	36	0	0.224294878
26	37	0	0.233266673
27	38	0	0.242238468
28	40	0	0.251210263
29	41	0	0.260182058
30	42	0	0.269153853
31	44	0	0.278125648
32	46	0	0.287097443
33	47	0	0.296069238
34	49	0	0.305041034
35	51	0	0.314012829
36	52	0	0.322984624
37	54	0	0.331956419
38	56	0	0.340928214
39	57	0	0.349900009
40	59	0	0.358871804
41	62	0	0.367843599
42	63	0	0.376815394
43	64	0	0.38578719
44	66	0	0.394758985
45	67	0	0.40373078
46	69	0	0.412702575
47	71	0	0.42167437
48	72	0	0.430646165
49	74	0	0.43961796
50	75	0	0.448589755
51	77	0	0.45756155
52	78	0	0.466533345
53	80	0	0.475505141
54	81	0	0.484476936
55	83	0	0.493448731
56	84	0	0.502420526
57	86	0	0.511392321
58	87	0	0.520364116
59	89	0	0.529335911
60	90	0	0.538307706
61	92	0	0.547279501
62	93	0	0.556251297
63	95	0	0.565223092
64	96	0	0.574194887
65	98	0	0.583166682
66	100	0	0.592138477
67	101	0	0.601110272
68	103	0	0.610082067
69	104	0	0.619053862
70	106	0	0.628025657
71	108	0	0.636997452
72	109	0	0.645969248
73	111	0	0.654941043
74	112	0	0.663912838
75	114	0	0.672884633
76	116	0	0.681856428
77	117	0	0.690828223
78	119	0	0.699800018
79	121	0	0.708771813
80	122	0	0.717743608
81	124	0	0.726715404
82	126	0	0.735687199
83	127	0	0.744658994
84	129	0	0.753630789
85	131	0	0.762602584
86	132	0	0.771574379
87	134	0	0.780546174
88	136	0	0.789517969
89	137	0	0.798489764
90	139	0	0.80746156
91	141	0	0.816433355
92	142	0	0.82540515
93	144	0	0.834376945
94	146	0	0.84334874
95	147	0	0.852320535
96	149	0	0.86129233
97	151	0	0.870264125
98	152	0	0.87923592
99	154	0	0.888207715
100	156	0	0.897179511
101	161	0	0.906151306
102	163	0	0.915123101
103	165	0	0.924094896
104	166	0	0.933066691
105	168	0	0.942038486
106	169	0	0.951010281
107	171	0	0.959982076
108	173	0	0.968953871
109	174	0	0.977925667
110	176	0	0.986897462
111	177	0	0.995869257
112	179	0	1.00484105
113	181	0	1.01381285
114	182	0	1.02278464
115	184	0	1.03175644
116	185	0	1.04072823
117	187	0	1.04970003
118	188	0	1.05867182
119	190	0	1.06764362
120	191	0	1.07661541
121	193	0	1.08558721
122	194	0	1.094559
123	196	0	1.1035308
124	197	0	1.11250259
125	199	0	1.12147439
126	200	0	1.13044618
127	202	0	1.13941798
128	203	0	1.14838977
129	205	0	1.15736157
130	206	0	1.16633336
131	208	0	1.17530516
132	209	0	1.18427695
