Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897271101	-115.708392	-115.708392	-115.708392	-115.708392	0	0	0	0	0	0	3
2	9	0	0.017945422	-29.6746218	-72.6915069	-115.708392	-29.6746218	43.0168851	0	0	0	0	0	3
3	11	0	0.026918133	-17.0874094	-54.1568077	-115.708392	-17.0874094	61.5515843	0	0	0	0	0	3
4	12	0	0.035890844	-6.18099562	-42.1628547	-115.708392	-6.18099562	73.5455373	0	0	0	0	0	3
5	14	0	0.0448635551	-13.5065864	-36.431601	-115.708392	-6.18099562	79.276791	0	0	0	0	0	3
6	15	0	0.0538362661	-6.5677871	-31.4542987	-115.708392	-6.18099562	84.2540933	0	0	0	0	0	3
7	16	0	0.0628089771	-11.6410423	-28.6238335	-115.708392	-6.18099562	87.0845585	0	0	0	0	0	3
8	18	0	0.0717816881	-6.26146335	-25.8285372	-115.708392	-6.18099562	89.8798548	0	0	0	0	0	3
9	19	0	0.0807543991	-10.5411567	-24.1299394	-115.708392	-6.18099562	91.5784526	0	0	0	0	0	3
10	20	0	0.0897271101	-6.25661711	-22.3426072	-115.708392	-6.18099562	93.3657848	0	0	0	0	0	3
11	22	0	0.0986998211	-9.1959456	-21.1474561	-115.708392	-6.18099562	94.5609359	0	0	0	0	0	3
12	23	0	0.107672532	-6.93170008	-19.9628098	-115.708392	-6.18099562	95.7455822	0	0	0	0	0	3
13	24	0	0.116645243	-8.74219383	-19.0996855	-115.708392	-6.18099562	96.6087065	0	0	0	0	0	3
14	26	0	0.125617954	-7.23553665	-18.2522463	-115.708392	-6.18099562	97.4561457	0	0	0	0	0	3
15	27	0	0.134590665	-8.40634839	-17.5958531	-115.708392	-6.18099562	98.1125389	0	0	0	0	0	3
16	29	0	0.143563376	-7.61049053	-16.9717679	-115.708392	-6.18099562	98.7366241	0	0	0	0	0	3
17	30	0	0.152536087	-7.97021083	-16.4422646	-115.708392	-6.18099562	99.2661274	0	0	0	0	0	3
18	31	0	0.161508798	-7.57280711	-15.9495169	-115.708392	-6.18099562	99.7588751	0	0	0	0	0	3
19	33	0	0.170481509	-7.66776945	-15.5136355	-115.708392	-6.18099562	100.194757	0	0	0	0	0	3
20	34	0	0.17945422	-7.44876422	-15.1103919	-115.708392	-6.18099562	100.598	0	0	0	0	0	3
21	35	0	0.188426931	-7.41885532	-14.7441283	-115.708392	-6.18099562	100.964264	0	0	0	0	0	3
22	37	0	0.197399642	-7.31100943	-14.4062592	-115.708392	-6.18099562	101.302133	0	0	0	0	0	3
23	38	0	0.206372353	-7.23933424	-14.0946538	-115.708392	-6.18099562	101.613738	0	0	0	0	0	3
24	40	0	0.215345064	-7.16387591	-13.8058714	-115.708392	-6.18099562	101.902521	0	0	0	0	0	3
25	41	0	0.224317775	-7.11411887	-13.5382013	-115.708392	-6.18099562	102.170191	0	0	0	0	0	3
26	43	0	0.233290486	-7.07270138	-13.2895282	-115.708392	-6.18099562	102.418864	0	0	0	0	0	3
27	44	0	0.242263197	-7.03814314	-13.0579954	-115.708392	-6.18099562	102.650397	0	0	0	0	0	3
28	46	0	0.251235908	-6.99933847	-12.8416148	-115.708392	-6.18099562	102.866777	0	0	0	0	0	3
29	47	0	0.260208619	-6.96855139	-12.6390954	-115.708392	-6.18099562	103.069297	0	0	0	0	0	3
30	49	0	0.26918133	-6.93779883	-12.4490522	-115.708392	-6.18099562	103.25934	0	0	0	0	0	3
31	50	0	0.278154041	-6.91706623	-12.270601	-115.708392	-6.18099562	103.437791	0	0	0	0	0	3
32	51	0	0.287126752	-6.8841721	-12.1022751	-115.708392	-6.18099562	103.606117	0	0	0	0	0	3
33	53	0	0.296099463	-6.86129523	-11.9434575	-115.708392	-6.18099562	103.764934	0	0	0	0	0	3
34	54	0	0.305072174	-6.83706984	-11.7932697	-115.708392	-6.18099562	103.915122	0	0	0	0	0	3
35	56	0	0.314044885	-6.82554573	-11.6513347	-115.708392	-6.18099562	104.057057	0	0	0	0	0	3
36	58	0	0.323017596	-6.8052839	-11.5167222	-115.708392	-6.18099562	104.19167	0	0	0	0	0	3
37	59	0	0.331990307	-6.77838429	-11.388659	-115.708392	-6.18099562	104.319733	0	0	0	0	0	3
38	61	0	0.340963018	-6.75029327	-11.2665967	-115.708392	-6.18099562	104.441795	0	0	0	0	0	3
39	62	0	0.349935729	-6.72808177	-11.1502246	-115.708392	-6.18099562	104.558167	0	0	0	0	0	3
40	64	0	0.35890844	-6.70373297	-11.0390623	-115.708392	-6.18099562	104.66933	0	0	0	0	0	3
41	65	0	0.367881151	-6.68914682	-10.9329668	-115.708392	-6.18099562	104.775425	0	0	0	0	0	3
42	67	0	0.376853862	-6.67310803	-10.8315416	-115.708392	-6.18099562	104.87685	0	0	0	0	0	3
43	68	0	0.385826573	-6.65560924	-10.7344269	-115.708392	-6.18099562	104.973965	0	0	0	0	0	3
44	70	0	0.394799284	-6.63987443	-10.6413688	-115.708392	-6.18099562	105.067023	0	0	0	0	0	3
45	71	0	0.403771995	-6.62965047	-10.5522195	-115.708392	-6.18099562	105.156172	0	0	0	0	0	3
46	73	0	0.412744707	-6.61544244	-10.4666374	-115.708392	-6.18099562	105.241755	0	0	0	0	0	3
47	75	0	0.421717418	-6.60533731	-10.3844821	-115.708392	-6.18099562	105.32391	0	0	0	0	0	3
48	76	0	0.430690129	-6.59298395	-10.3054926	-115.708392	-6.18099562	105.402899	0	0	0	0	0	3
49	78	0	0.43966284	-6.58360902	-10.2295358	-115.708392	-6.18099562	105.478856	0	0	0	0	0	3
50	79	0	0.448635551	-6.57098655	-10.1563648	-115.708392	-6.18099562	105.552027	0	0	0	0	0	3
51	81	0	0.457608262	-6.56291888	-10.0859051	-115.708392	-6.18099562	105.622487	0	0	0	0	0	3
52	83	0	0.466580973	-6.55413471	-10.0179864	-115.708392	-6.18099562	105.690406	0	0	0	0	0	3
53	84	0	0.475553684	-6.54798949	-9.95251476	-115.708392	-6.18099562	105.755877	0	0	0	0	0	3
54	86	0	0.484526395	-6.54449208	-9.88940322	-115.708392	-6.18099562	105.818989	0	0	0	0	0	3
55	87	0	0.493499106	-6.54256088	-9.82855155	-115.708392	-6.18099562	105.87984	0	0	0	0	0	3
56	89	0	0.502471817	-6.53870831	-9.76980435	-115.708392	-6.18099562	105.938588	0	0	0	0	0	3
57	90	0	0.511444528	-6.53616111	-7.82030022	-29.6746218	-6.18099562	23.4936261	0	0	0	0	0	3
58	92	0	0.520417239	-6.530431	-7.4070111	-17.0874094	-6.18099562	10.9064137	0	0	0	0	0	3
59	93	0	0.52938995	-6.52703762	-7.21843303	-13.5065864	-6.18099562	7.3255908	0	0	0	0	0	3
60	95	0	0.538362661	-6.52077208	-7.22450047	-13.5065864	-6.25661711	7.24996931	0	0	0	0	0	3
61	96	0	0.547335372	-6.52011731	-7.09974209	-11.6410423	-6.25661711	5.38442518	0	0	0	0	0	3
62	98	0	0.556308083	-6.51188019	-7.09874376	-11.6410423	-6.25661711	5.38442518	0	0	0	0	0	3
63	99	0	0.565280794	-6.50669685	-7.00705902	-10.5411567	-6.25661711	4.28453958	0	0	0	0	0	3
64	101	0	0.574253505	-6.49498095	-7.01122897	-10.5411567	-6.25661711	4.28453958	0	0	0	0	0	3
65	102	0	0.583226216	-6.48900493	-6.93886912	-9.1959456	-6.25661711	2.93932849	0	0	0	0	0	3
66	104	0	0.592198927	-6.48592367	-6.94296388	-9.1959456	-6.48592367	2.71002193	0	0	0	0	0	3
67	105	0	0.601171638	-6.4885889	-6.89461823	-8.74219383	-6.48592367	2.25627017	0	0	0	0	0	3
68	107	0	0.610144349	-6.48799151	-6.88669486	-8.74219383	-6.48592367	2.25627017	0	0	0	0	0	3
69	108	0	0.61911706	-6.48864429	-6.8464529	-8.40634839	-6.48592367	1.92042472	0	0	0	0	0	3
70	110	0	0.628089771	-6.48362199	-6.83302585	-8.40634839	-6.48362199	1.9227264	0	0	0	0	0	3
71	111	0	0.637062482	-6.47853645	-6.79860064	-7.97021083	-6.47853645	1.49167438	0	0	0	0	0	3
72	113	0	0.646035193	-6.47557544	-6.7783343	-7.97021083	-6.47557544	1.49463539	0	0	0	0	0	3
73	114	0	0.655007904	-6.47371269	-6.75161112	-7.66776945	-6.47371269	1.19405676	0	0	0	0	0	3
