Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897271101	0.0977400212	0.0977400212	0.0977400212	0.0977400212	0	0	0	0	0	0	3
2	9	0	0.017945422	0.0247955607	0.061267791	0.0247955607	0.0977400212	0.0364722303	0	0	0	0	0	3
3	11	0	0.026918133	0.0176287042	0.0467214287	0.0176287042	0.0977400212	0.0510185925	0	0	0	0	0	3
4	12	0	0.035890844	0.00907181711	0.0373090258	0.00907181711	0.0977400212	0.0604309954	0	0	0	0	0	3
5	14	0	0.0448635551	0.0109605859	0.0320393378	0.00907181711	0.0977400212	0.0657006834	0	0	0	0	0	3
6	15	0	0.0538362661	0.00984400158	0.0283401151	0.00907181711	0.0977400212	0.0693999061	0	0	0	0	0	3
7	16	0	0.0628089771	0.00997200435	0.0257160993	0.00907181711	0.0977400212	0.072023922	0	0	0	0	0	3
8	18	0	0.0717816881	0.00999551718	0.0237510265	0.00907181711	0.0977400212	0.0739889947	0	0	0	0	0	3
9	19	0	0.0807543991	0.0105457437	0.0222837729	0.00907181711	0.0977400212	0.0754562484	0	0	0	0	0	3
10	20	0	0.0897271101	0.0125931752	0.0213147131	0.00907181711	0.0977400212	0.0764253081	0	0	0	0	0	3
11	22	0	0.0986998211	0.0117466416	0.0204448884	0.00907181711	0.0977400212	0.0772951328	0	0	0	0	0	3
12	23	0	0.107672532	0.0115671924	0.0197050804	0.00907181711	0.0977400212	0.0780349408	0	0	0	0	0	3
13	24	0	0.116645243	0.0108660766	0.0190251571	0.00907181711	0.0977400212	0.0787148642	0	0	0	0	0	3
14	26	0	0.125617954	0.0109250099	0.0184465751	0.00907181711	0.0977400212	0.0792934461	0	0	0	0	0	3
15	27	0	0.134590665	0.0101823481	0.0178956267	0.00907181711	0.0977400212	0.0798443946	0	0	0	0	0	3
16	29	0	0.143563376	0.0105924035	0.0174391752	0.00907181711	0.0977400212	0.080300846	0	0	0	0	0	3
17	30	0	0.152536087	0.00983439476	0.0169918352	0.00907181711	0.0977400212	0.0807481861	0	0	0	0	0	3
18	31	0	0.161508798	0.00986660959	0.0165959893	0.00907181711	0.0977400212	0.0811440319	0	0	0	0	0	3
19	33	0	0.170481509	0.0097656433	0.0162364974	0.00907181711	0.0977400212	0.0815035238	0	0	0	0	0	3
20	34	0	0.17945422	0.00983400419	0.0159163728	0.00907181711	0.0977400212	0.0818236485	0	0	0	0	0	3
21	35	0	0.188426931	0.00976098543	0.0156232591	0.00907181711	0.0977400212	0.0821167622	0	0	0	0	0	3
22	37	0	0.197399642	0.00984298419	0.0153605193	0.00907181711	0.0977400212	0.0823795019	0	0	0	0	0	3
23	38	0	0.206372353	0.00982433584	0.0151198157	0.00907181711	0.0977400212	0.0826202056	0	0	0	0	0	3
24	40	0	0.215345064	0.00991842402	0.014903091	0.00907181711	0.0977400212	0.0828369302	0	0	0	0	0	3
25	41	0	0.224317775	0.00981404018	0.014699529	0.00907181711	0.0977400212	0.0830404922	0	0	0	0	0	3
26	43	0	0.233290486	0.0098484226	0.014512948	0.00907181711	0.0977400212	0.0832270733	0	0	0	0	0	3
27	44	0	0.242263197	0.00989783033	0.0143420177	0.00907181711	0.0977400212	0.0833980035	0	0	0	0	0	3
28	46	0	0.251235908	0.00999517723	0.0141867734	0.00907181711	0.0977400212	0.0835532478	0	0	0	0	0	3
29	47	0	0.260208619	0.0102054583	0.0140494867	0.00907181711	0.0977400212	0.0836905346	0	0	0	0	0	3
30	49	0	0.26918133	0.0104152513	0.0139283455	0.00907181711	0.0977400212	0.0838116758	0	0	0	0	0	3
31	50	0	0.278154041	0.0104641333	0.0138165967	0.00907181711	0.0977400212	0.0839234245	0	0	0	0	0	3
32	51	0	0.287126752	0.0105450038	0.0137143594	0.00907181711	0.0977400212	0.0840256618	0	0	0	0	0	3
33	53	0	0.296099463	0.0105157255	0.0136174311	0.00907181711	0.0977400212	0.0841225901	0	0	0	0	0	3
34	54	0	0.305072174	0.0105495519	0.0135271994	0.00907181711	0.0977400212	0.0842128219	0	0	0	0	0	3
35	56	0	0.314044885	0.0105064141	0.0134408912	0.00907181711	0.0977400212	0.08429913	0	0	0	0	0	3
36	58	0	0.323017596	0.0105455419	0.0133604649	0.00907181711	0.0977400212	0.0843795564	0	0	0	0	0	3
37	59	0	0.331990307	0.0104722564	0.0132824052	0.00907181711	0.0977400212	0.0844576161	0	0	0	0	0	3
38	61	0	0.340963018	0.0104685183	0.0132083555	0.00907181711	0.0977400212	0.0845316657	0	0	0	0	0	3
39	62	0	0.349935729	0.010367691	0.013135518	0.00907181711	0.0977400212	0.0846045033	0	0	0	0	0	3
40	64	0	0.35890844	0.010398903	0.0130671026	0.00907181711	0.0977400212	0.0846729186	0	0	0	0	0	3
41	65	0	0.367881151	0.0103087092	0.0129998247	0.00907181711	0.0977400212	0.0847401965	0	0	0	0	0	3
42	67	0	0.376853862	0.0103086358	0.0129357488	0.00907181711	0.0977400212	0.0848042725	0	0	0	0	0	3
43	68	0	0.385826573	0.0102458989	0.0128731941	0.00907181711	0.0977400212	0.0848668271	0	0	0	0	0	3
44	70	0	0.394799284	0.0101874154	0.0128121537	0.00907181711	0.0977400212	0.0849278675	0	0	0	0	0	3
45	71	0	0.403771995	0.0101549275	0.0127531042	0.00907181711	0.0977400212	0.084986917	0	0	0	0	0	3
46	73	0	0.412744707	0.0100684372	0.0126947419	0.00907181711	0.0977400212	0.0850452793	0	0	0	0	0	3
47	75	0	0.421717418	0.0101524883	0.0126406514	0.00907181711	0.0977400212	0.0850993698	0	0	0	0	0	3
48	76	0	0.430690129	0.0100931566	0.0125875786	0.00907181711	0.0977400212	0.0851524426	0	0	0	0	0	3
49	78	0	0.43966284	0.0100904929	0.0125366177	0.00907181711	0.0977400212	0.0852034036	0	0	0	0	0	3
50	79	0	0.448635551	0.00996251624	0.0124851356	0.00907181711	0.0977400212	0.0852548856	0	0	0	0	0	3
51	81	0	0.457608262	0.0100014355	0.0124364356	0.00907181711	0.0977400212	0.0853035856	0	0	0	0	0	3
52	83	0	0.466580973	0.00991656051	0.0123879765	0.00907181711	0.0977400212	0.0853520447	0	0	0	0	0	3
53	84	0	0.475553684	0.00996535813	0.0123422667	0.00907181711	0.0977400212	0.0853977545	0	0	0	0	0	3
54	86	0	0.484526395	0.00982351777	0.0122956232	0.00907181711	0.0977400212	0.085444398	0	0	0	0	0	3
55	87	0	0.493499106	0.0098283863	0.0122507644	0.00907181711	0.0977400212	0.0854892569	0	0	0	0	0	3
56	89	0	0.502471817	0.00982637657	0.0122074717	0.00907181711	0.0977400212	0.0855325495	0	0	0	0	0	3
57	90	0	0.511444528	0.00985617015	0.0106381172	0.00907181711	0.0247955607	0.0157237436	0	0	0	0	0	3
58	92	0	0.520417239	0.00969077739	0.010368389	0.00907181711	0.0176287042	0.00855688712	0	0	0	0	0	3
59	93	0	0.52938995	0.00975399713	0.0102277692	0.00907181711	0.0125931752	0.00352135806	0	0	0	0	0	3
60	95	0	0.538362661	0.00971700016	0.0102392903	0.00969077739	0.0125931752	0.00290239778	0	0	0	0	0	3
61	96	0	0.547335372	0.00972283577	0.0102171876	0.00969077739	0.0125931752	0.00290239778	0	0	0	0	0	3
62	98	0	0.556308083	0.00970058675	0.0102146267	0.00969077739	0.0125931752	0.00290239778	0	0	0	0	0	3
63	99	0	0.565280794	0.00974075048	0.0102104971	0.00969077739	0.0125931752	0.00290239778	0	0	0	0	0	3
64	101	0	0.574253505	0.00958605503	0.0102031853	0.00958605503	0.0125931752	0.00300712014	0	0	0	0	0	3
65	102	0	0.583226216	0.00964415439	0.0101870855	0.00958605503	0.0125931752	0.00300712014	0	0	0	0	0	3
66	104	0	0.592198927	0.00960644659	0.0101337511	0.00958605503	0.0117466416	0.00216058659	0	0	0	0	0	3
67	105	0	0.601171638	0.00961330884	0.0100956558	0.00958605503	0.0115671924	0.00198113734	0	0	0	0	0	3
68	107	0	0.610144349	0.00950159457	0.0100587702	0.00950159457	0.0109250099	0.00142341535	0	0	0	0	0	3
69	108	0	0.61911706	0.00954764122	0.0100352267	0.00950159457	0.0109250099	0.00142341535	0	0	0	0	0	3
70	110	0	0.628089771	0.00948267838	0.0100094707	0.00948267838	0.0105924035	0.00110972515	0	0	0	0	0	3
71	111	0	0.637062482	0.00955759784	0.00999831449	0.00948267838	0.0105924035	0.00110972515	0	0	0	0	0	3
72	113	0	0.646035193	0.0094453139	0.00997783075	0.0094453139	0.0105495519	0.00110423797	0	0	0	0	0	3
73	114	0	0.655007904	0.00948087133	0.00997151783	0.0094453139	0.0105495519	0.00110423797	0	0	0	0	0	3
74	116	0	0.663980615	0.00949349852	0.00996485513	0.0094453139	0.0105495519	0.00110423797	0	0	0	0	0	3
75	117	0	0.672953326	0.00948294088	0.00995980688	0.0094453139	0.0105495519	0.00110423797	0	0	0	0	0	3
76	118	0	0.681926037	0.0094387659	0.00995274905	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
77	120	0	0.690898748	0.00956195053	0.00994919485	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
78	121	0	0.699871459	0.00949009822	0.00994289332	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
79	123	0	0.70884417	0.00952173874	0.0099374898	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
80	124	0	0.717816881	0.00945896529	0.00992928518	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
81	126	0	0.726789592	0.00959651034	0.00992540072	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
82	127	0	0.735762303	0.00944756536	0.00991824255	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
83	128	0	0.744735014	0.00952620319	0.00991160635	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
84	130	0	0.753707725	0.00949230623	0.00990262651	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
85	131	0	0.762680436	0.00959809904	0.00989178081	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
86	133	0	0.771653147	0.009474875	0.00987498838	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
87	134	0	0.780625858	0.00953867843	0.0098584624	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
88	136	0	0.789598569	0.00955020778	0.00984069818	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
89	137	0	0.79857128	0.00960354064	0.00982440917	0.0094387659	0.0105495519	0.00111078596	0	0	0	0	0	3
90	138	0	0.807543991	0.00955118862	0.00980658125	0.0094387659	0.0105455419	0.00110677602	0	0	0	0	0	3
91	140	0	0.816516702	0.00958481158	0.00979012406	0.0094387659	0.0105455419	0.00110677602	0	0	0	0	0	3
92	141	0	0.825489413	0.0096204372	0.00977360434	0.0094387659	0.0104722564	0.00103349051	0	0	0	0	0	3
93	143	0	0.834462124	0.00963672903	0.00975868421	0.0094387659	0.0104685183	0.00102975238	0	0	0	0	0	3
94	144	0	0.843434835	0.00957095044	0.00974265621	0.0094387659	0.010398903	0.000960137134	0	0	0	0	0	3
95	146	0	0.852407546	0.00958156406	0.00972861823	0.0094387659	0.010398903	0.000960137134	0	0	0	0	0	3
96	147	0	0.861380257	0.00961373679	0.0097145974	0.0094387659	0.0103087092	0.000869943304	0	0	0	0	0	3
97	148	0	0.870352968	0.00962306687	0.00970235379	0.0094387659	0.0103086358	0.00086986987	0	0	0	0	0	3
98	150	0	0.879325679	0.0095758636	0.00968926857	0.0094387659	0.0102458989	0.000807133019	0	0	0	0	0	3
99	151	0	0.88829839	0.00957617615	0.00967730924	0.0094387659	0.0101874154	0.000748649537	0	0	0	0	0	3
100	153	0	0.897271101	0.0096028824	0.00966687115	0.0094387659	0.0101549275	0.000716161566	0	0	0	0	0	3
101	157	0	0.906243812	0.00961404179	0.00965721247	0.0094387659	0.0101524883	0.000713722375	0	0	0	0	0	3
102	159	0	0.915216523	0.00954392892	0.00964784625	0.0094387659	0.0101524883	0.000713722375	0	0	0	0	0	3
103	160	0	0.924189234	0.00952103382	0.00963657028	0.0094387659	0.0100931566	0.000654390712	0	0	0	0	0	3
104	162	0	0.933161945	0.00960461511	0.00962784633	0.0094387659	0.0100904929	0.000651727025	0	0	0	0	0	3
105	163	0	0.942134656	0.00954714411	0.00961814367	0.0094387659	0.0100014355	0.000562669607	0	0	0	0	0	3
106	164	0	0.951107367	0.00955576104	0.00961088018	0.0094387659	0.0100014355	0.000562669607	0	0	0	0	0	3
107	166	0	0.960080078	0.00950143246	0.00960195156	0.0094387659	0.00996535813	0.000526592228	0	0	0	0	0	3
108	167	0	0.969052789	0.00960085259	0.00959631392	0.0094387659	0.00996535813	0.000526592228	0	0	0	0	0	3
109	168	0	0.9780255	0.00956068875	0.00958908768	0.0094387659	0.00985617015	0.000417404248	0	0	0	0	0	3
