Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00897271101	-0.161326978	-0.161326978	-0.161326978	-0.161326978	0	0	0	0	0	0	3
2	8	0	0.017945422	0.289704372	0.0641886969	-0.161326978	0.289704372	0.225515675	0	0	0	0	0	3
3	9	0	0.026918133	0.277875634	0.135417676	-0.161326978	0.289704372	0.296744654	0	0	0	0	0	3
4	10	0	0.035890844	0.169237574	0.143872651	-0.161326978	0.289704372	0.305199629	0	0	0	0	0	3
5	11	0	0.0448635551	0.0564163848	0.126381397	-0.161326978	0.289704372	0.305199629	0	0	0	0	0	3
6	13	0	0.0538362661	0.103727916	0.122605817	-0.161326978	0.289704372	0.305199629	0	0	0	0	0	3
7	14	0	0.0628089771	-0.0710934032	0.0949344999	-0.161326978	0.289704372	0.305199629	0	0	0	0	0	3
8	15	0	0.0717816881	0.105707646	0.0962811433	-0.161326978	0.289704372	0.305199629	0	0	0	0	0	3
9	16	0	0.0807543991	-0.186744509	0.0648338486	-0.186744509	0.289704372	0.305199629	0	0	0	0	0	3
10	18	0	0.0897271101	0.0459890658	0.0629493703	-0.186744509	0.289704372	0.305199629	0	0	0	0	0	3
11	19	0	0.0986998211	-0.249496352	0.0345452138	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
12	20	0	0.107672532	-0.091034751	0.0240802167	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
13	22	0	0.116645243	-0.200487992	0.00680573916	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
14	23	0	0.125617954	-0.110234058	-0.00155424633	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
15	24	0	0.134590665	-0.133320108	-0.0103386371	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
16	25	0	0.143563376	-0.10482571	-0.0162440791	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
17	26	0	0.152536087	-0.168640929	-0.0252085997	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
18	27	0	0.161508798	-0.142589912	-0.0317297837	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
19	29	0	0.170481509	-0.153876475	-0.0381585569	-0.249496352	0.289704372	0.305199629	0	0	0	0	0	3
