Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00897203701	2.78403436	2.78403436	2.78403436	2.78403436	0	0	0	0	0	0	3
2	9	0	0.017944074	3.93432397	3.35917917	2.78403436	3.93432397	0.575144805	0	0	0	0	0	3
3	10	0	0.026916111	1.82373589	2.84736474	1.82373589	3.93432397	0.575144805	0	0	0	0	0	3
4	12	0	0.035888148	1.54258164	2.52116897	1.54258164	3.93432397	0.838010201	0	0	0	0	0	3
5	13	0	0.044860185	0.843331309	2.18560143	0.843331309	3.93432397	1.17357773	0	0	0	0	0	3
6	14	0	0.053832222	0.496801039	1.9041347	0.496801039	3.93432397	1.45504447	0	0	0	0	0	3
7	16	0	0.062804259	0.300084136	1.67498462	0.300084136	3.93432397	1.68419455	0	0	0	0	0	3
8	17	0	0.0717762961	0.82881349	1.56921323	0.300084136	3.93432397	1.78996594	0	0	0	0	0	3
9	18	0	0.0807483331	0.305244904	1.4287723	0.300084136	3.93432397	1.93040686	0	0	0	0	0	3
10	20	0	0.0897203701	0.517873448	1.33768242	0.300084136	3.93432397	2.02149675	0	0	0	0	0	3
11	21	0	0.0986924071	0.120679465	1.22704579	0.120679465	3.93432397	2.13213338	0	0	0	0	0	3
12	23	0	0.107664444	0.57730721	1.17290091	0.120679465	3.93432397	2.18627826	0	0	0	0	0	3
13	24	0	0.116636481	0.618589673	1.13026158	0.120679465	3.93432397	2.22891759	0	0	0	0	0	3
14	25	0	0.125608518	0.665389334	1.09705642	0.120679465	3.93432397	2.26212275	0	0	0	0	0	3
15	26	0	0.134580555	0.598601603	1.0638261	0.120679465	3.93432397	2.29535307	0	0	0	0	0	3
16	28	0	0.143552592	0.712630051	1.04187635	0.120679465	3.93432397	2.31730282	0	0	0	0	0	3
17	29	0	0.152524629	0.654774733	1.01910566	0.120679465	3.93432397	2.3400735	0	0	0	0	0	3
18	31	0	0.161496666	0.710111561	1.00193932	0.120679465	3.93432397	2.35723984	0	0	0	0	0	3
19	32	0	0.170468703	0.88345266	0.995703183	0.120679465	3.93432397	2.36347598	0	0	0	0	0	3
20	33	0	0.17944074	0.770898917	0.98446297	0.120679465	3.93432397	2.3747162	0	0	0	0	0	3
21	35	0	0.188412777	0.824892202	0.976864362	0.120679465	3.93432397	2.38231481	0	0	0	0	0	3
22	36	0	0.197384814	0.824907049	0.969957211	0.120679465	3.93432397	2.38922196	0	0	0	0	0	3
23	37	0	0.206356851	0.847799818	0.96464602	0.120679465	3.93432397	2.39453315	0	0	0	0	0	3
24	39	0	0.215328888	0.722077026	0.954538979	0.120679465	3.93432397	2.40464019	0	0	0	0	0	3
25	40	0	0.224300925	0.824918211	0.949354148	0.120679465	3.93432397	2.40982502	0	0	0	0	0	3
26	42	0	0.233272962	0.772145391	0.942538427	0.120679465	3.93432397	2.41664074	0	0	0	0	0	3
27	43	0	0.242244999	0.75581565	0.935622768	0.120679465	3.93432397	2.4235564	0	0	0	0	0	3
28	44	0	0.251217036	0.658813723	0.925736731	0.120679465	3.93432397	2.43344244	0	0	0	0	0	3
29	46	0	0.260189073	0.715487252	0.918486749	0.120679465	3.93432397	2.44069242	0	0	0	0	0	3
30	47	0	0.26916111	0.593949797	0.907668851	0.120679465	3.93432397	2.45151032	0	0	0	0	0	3
31	49	0	0.278133147	0.586178822	0.897298204	0.120679465	3.93432397	2.46188096	0	0	0	0	0	3
32	50	0	0.287105184	0.557850297	0.886690457	0.120679465	3.93432397	2.47248871	0	0	0	0	0	3
33	51	0	0.296077221	0.502513787	0.87504874	0.120679465	3.93432397	2.48413043	0	0	0	0	0	3
34	53	0	0.305049258	0.534977374	0.865046641	0.120679465	3.93432397	2.49413253	0	0	0	0	0	3
35	54	0	0.314021295	0.481146721	0.854078072	0.120679465	3.93432397	2.5051011	0	0	0	0	0	3
36	56	0	0.322993332	0.487752866	0.843902372	0.120679465	3.93432397	2.5152768	0	0	0	0	0	3
37	57	0	0.331965369	0.484196935	0.834180603	0.120679465	3.93432397	2.52499856	0	0	0	0	0	3
38	59	0	0.340937406	0.520280615	0.825920077	0.120679465	3.93432397	2.53325909	0	0	0	0	0	3
39	60	0	0.349909443	0.52209606	0.818129718	0.120679465	3.93432397	2.54104945	0	0	0	0	0	3
40	62	0	0.35888148	0.547403714	0.811361568	0.120679465	3.93432397	2.5478176	0	0	0	0	0	3
41	63	0	0.367853517	0.538313876	0.804701868	0.120679465	3.93432397	2.5544773	0	0	0	0	0	3
42	65	0	0.376825554	0.527192027	0.798094491	0.120679465	3.93432397	2.56108468	0	0	0	0	0	3
43	67	0	0.385797591	0.490055798	0.7909308	0.120679465	3.93432397	2.56824837	0	0	0	0	0	3
44	68	0	0.394769628	0.466965651	0.783567956	0.120679465	3.93432397	2.57561121	0	0	0	0	0	3
45	70	0	0.403741665	0.446660776	0.77608113	0.120679465	3.93432397	2.58309804	0	0	0	0	0	3
46	71	0	0.412713702	0.423377409	0.768413657	0.120679465	3.93432397	2.59076551	0	0	0	0	0	3
47	73	0	0.421685739	0.396509788	0.760500809	0.120679465	3.93432397	2.59867836	0	0	0	0	0	3
48	74	0	0.430657776	0.381407391	0.75260303	0.120679465	3.93432397	2.60657614	0	0	0	0	0	3
49	76	0	0.439629813	0.346566418	0.744316568	0.120679465	3.93432397	2.6148626	0	0	0	0	0	3
50	77	0	0.44860185	0.338265243	0.736195542	0.120679465	3.93432397	2.62298363	0	0	0	0	0	3
51	79	0	0.457573887	0.316598825	0.727968155	0.120679465	3.93432397	2.63121101	0	0	0	0	0	3
52	81	0	0.466545924	0.312230439	0.719973199	0.120679465	3.93432397	2.63920597	0	0	0	0	0	3
