Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00897203701	152.916432	152.916432	152.916432	152.916432	0	0	0	0	0	0	3
2	9	0	0.017944074	54.2294739	103.572953	54.2294739	152.916432	49.3434788	0	0	0	0	0	3
3	10	0	0.026916111	26.9101506	78.0186854	26.9101506	152.916432	74.8977462	0	0	0	0	0	3
4	12	0	0.035888148	18.3823773	63.1096083	18.3823773	152.916432	89.8068232	0	0	0	0	0	3
5	13	0	0.044860185	22.9236949	55.0724257	18.3823773	152.916432	97.8440059	0	0	0	0	0	3
6	14	0	0.053832222	18.5792686	48.9902328	18.3823773	152.916432	103.926199	0	0	0	0	0	3
7	16	0	0.062804259	21.7483262	45.0985319	18.3823773	152.916432	107.8179	0	0	0	0	0	3
8	17	0	0.0717762961	17.888608	41.6972914	17.888608	152.916432	111.21914	0	0	0	0	0	3
9	18	0	0.0807483331	20.5323174	39.3456276	17.888608	152.916432	113.570804	0	0	0	0	0	3
10	20	0	0.0897203701	17.1586726	37.1269321	17.1586726	152.916432	115.789499	0	0	0	0	0	3
11	21	0	0.0986924071	19.2080964	35.4979471	17.1586726	152.916432	117.418484	0	0	0	0	0	3
12	23	0	0.107664444	17.192028	33.9724538	17.1586726	152.916432	118.943978	0	0	0	0	0	3
13	24	0	0.116636481	18.8045641	32.8056931	17.1586726	152.916432	120.110738	0	0	0	0	0	3
14	25	0	0.125608518	17.1098063	31.6845583	17.1098063	152.916432	121.231873	0	0	0	0	0	3
15	26	0	0.134580555	18.3538528	30.7958446	17.1098063	152.916432	122.120587	0	0	0	0	0	3
16	28	0	0.143552592	17.2129976	29.9469167	17.1098063	152.916432	122.969515	0	0	0	0	0	3
17	29	0	0.152524629	17.5772839	29.2192912	17.1098063	152.916432	123.69714	0	0	0	0	0	3
18	31	0	0.161496666	16.9967832	28.540263	16.9967832	152.916432	124.376169	0	0	0	0	0	3
19	32	0	0.170468703	17.0802231	27.937103	16.9967832	152.916432	124.979329	0	0	0	0	0	3
20	33	0	0.17944074	16.7334205	27.3769189	16.7334205	152.916432	125.539513	0	0	0	0	0	3
21	35	0	0.188412777	16.6383949	26.8655606	16.6383949	152.916432	126.050871	0	0	0	0	0	3
22	36	0	0.197384814	16.4368205	26.3915269	16.4368205	152.916432	126.524905	0	0	0	0	0	3
23	37	0	0.206356851	16.2676015	25.9513563	16.2676015	152.916432	126.965075	0	0	0	0	0	3
24	39	0	0.215328888	16.1290234	25.5420924	16.1290234	152.916432	127.374339	0	0	0	0	0	3
25	40	0	0.224300925	15.9772211	25.1594975	15.9772211	152.916432	127.756934	0	0	0	0	0	3
26	42	0	0.233272962	15.901654	24.8034266	15.901654	152.916432	128.113005	0	0	0	0	0	3
27	43	0	0.242244999	15.7933097	24.4697186	15.7933097	152.916432	128.446713	0	0	0	0	0	3
28	44	0	0.251217036	15.7181239	24.1571616	15.7181239	152.916432	128.75927	0	0	0	0	0	3
29	46	0	0.260189073	15.6328461	23.8632197	15.6328461	152.916432	129.053212	0	0	0	0	0	3
30	47	0	0.26916111	15.5902473	23.587454	15.5902473	152.916432	129.328978	0	0	0	0	0	3
31	49	0	0.278133147	15.5061681	23.3267673	15.5061681	152.916432	129.589664	0	0	0	0	0	3
32	50	0	0.287105184	15.4370461	23.0802136	15.4370461	152.916432	129.836218	0	0	0	0	0	3
33	51	0	0.296077221	15.3498836	22.8459611	15.3498836	152.916432	130.07047	0	0	0	0	0	3
34	53	0	0.305049258	15.3093401	22.6242958	15.3093401	152.916432	130.292136	0	0	0	0	0	3
35	54	0	0.314021295	15.2489899	22.4135728	15.2489899	152.916432	130.502859	0	0	0	0	0	3
36	56	0	0.322993332	15.2133139	22.2135656	15.2133139	152.916432	130.702866	0	0	0	0	0	3
37	57	0	0.331965369	15.1493111	22.0226398	15.1493111	152.916432	130.893792	0	0	0	0	0	3
38	59	0	0.340937406	15.0984939	21.8404254	15.0984939	152.916432	131.076006	0	0	0	0	0	3
39	60	0	0.349909443	15.0522537	21.6663697	15.0522537	152.916432	131.250062	0	0	0	0	0	3
40	62	0	0.35888148	15.0241168	21.5003134	15.0241168	152.916432	131.416118	0	0	0	0	0	3
41	63	0	0.367853517	14.9997423	21.3417629	14.9997423	152.916432	131.574669	0	0	0	0	0	3
42	65	0	0.376825554	14.9740835	21.1901515	14.9740835	152.916432	131.72628	0	0	0	0	0	3
43	67	0	0.385797591	14.9360098	21.0447063	14.9360098	152.916432	131.871725	0	0	0	0	0	3
