Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00897203701	-0.093840372	-0.093840372	-0.093840372	-0.093840372	0	0	0	0	0	0	3
2	9	0	0.017944074	-0.0291037724	-0.0614720722	-0.093840372	-0.0291037724	0.0323682998	0	0	0	0	0	3
3	10	0	0.026916111	-0.0162966297	-0.0464135914	-0.093840372	-0.0162966297	0.0474267807	0	0	0	0	0	3
4	12	0	0.035888148	-0.0111095451	-0.0375875798	-0.093840372	-0.0111095451	0.0562527922	0	0	0	0	0	3
5	13	0	0.044860185	-0.0135729016	-0.0327846441	-0.093840372	-0.0111095451	0.0610557279	0	0	0	0	0	3
6	14	0	0.053832222	-0.0120304178	-0.0293256064	-0.093840372	-0.0111095451	0.0645147656	0	0	0	0	0	3
7	16	0	0.062804259	-0.0124805472	-0.0269191694	-0.093840372	-0.0111095451	0.0669212026	0	0	0	0	0	3
8	17	0	0.0717762961	-0.0118025045	-0.0250295863	-0.093840372	-0.0111095451	0.0688107857	0	0	0	0	0	3
9	18	0	0.0807483331	-0.0113967036	-0.0235148215	-0.093840372	-0.0111095451	0.0703255505	0	0	0	0	0	3
10	20	0	0.0897203701	-0.012323055	-0.0223956449	-0.093840372	-0.0111095451	0.0714447271	0	0	0	0	0	3
11	21	0	0.0986924071	-0.0120356113	-0.0214538236	-0.093840372	-0.0111095451	0.0723865484	0	0	0	0	0	3
12	23	0	0.107664444	-0.0123743099	-0.0206971975	-0.093840372	-0.0111095451	0.0731431745	0	0	0	0	0	3
13	24	0	0.116636481	-0.0121366694	-0.0200386953	-0.093840372	-0.0111095451	0.0738016767	0	0	0	0	0	3
14	25	0	0.125608518	-0.0117073689	-0.0194436006	-0.093840372	-0.0111095451	0.0743967714	0	0	0	0	0	3
15	26	0	0.134580555	-0.0115155065	-0.018915061	-0.093840372	-0.0111095451	0.074925311	0	0	0	0	0	3
16	28	0	0.143552592	-0.0117989232	-0.0184703024	-0.093840372	-0.0111095451	0.0753700696	0	0	0	0	0	3
17	29	0	0.152524629	-0.0115465249	-0.0180630213	-0.093840372	-0.0111095451	0.0757773507	0	0	0	0	0	3
18	31	0	0.161496666	-0.0115589357	-0.0177016833	-0.093840372	-0.0111095451	0.0761386888	0	0	0	0	0	3
19	32	0	0.170468703	-0.0114280439	-0.0173714917	-0.093840372	-0.0111095451	0.0764688803	0	0	0	0	0	3
20	33	0	0.17944074	-0.011518043	-0.0170788193	-0.093840372	-0.0111095451	0.0767615527	0	0	0	0	0	3
21	35	0	0.188412777	-0.0113022093	-0.0168037426	-0.093840372	-0.0111095451	0.0770366294	0	0	0	0	0	3
22	36	0	0.197384814	-0.0114475976	-0.0165602815	-0.093840372	-0.0111095451	0.0772800906	0	0	0	0	0	3
23	37	0	0.206356851	-0.0113596543	-0.0163341672	-0.093840372	-0.0111095451	0.0775062048	0	0	0	0	0	3
24	39	0	0.215328888	-0.0115268456	-0.0161338622	-0.093840372	-0.0111095451	0.0777065098	0	0	0	0	0	3
