Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00897203701	0.246692239	0.246692239	0.246692239	0.246692239	0	0	0	0	0	0	3
2	9	0	0.017944074	0.0808675628	0.163779901	0.0808675628	0.246692239	0.0829123382	0	0	0	0	0	3
3	10	0	0.026916111	0.0477476227	0.125102475	0.0477476227	0.246692239	0.121589764	0	0	0	0	0	3
4	12	0	0.035888148	0.0376275917	0.103233754	0.0376275917	0.246692239	0.143458485	0	0	0	0	0	3
5	13	0	0.044860185	0.0375532418	0.0900976516	0.0375532418	0.246692239	0.156594587	0	0	0	0	0	3
6	14	0	0.053832222	0.0376081384	0.0813493994	0.0375532418	0.246692239	0.16534284	0	0	0	0	0	3
7	16	0	0.062804259	0.03623803	0.0749049181	0.03623803	0.246692239	0.171787321	0	0	0	0	0	3
8	17	0	0.0717762961	0.0378806762	0.0702768878	0.03623803	0.246692239	0.176415351	0	0	0	0	0	3
9	18	0	0.0807483331	0.0369642541	0.0665754841	0.03623803	0.246692239	0.180116755	0	0	0	0	0	3
10	20	0	0.0897203701	0.0400637944	0.0639243151	0.03623803	0.246692239	0.182767924	0	0	0	0	0	3
11	21	0	0.0986924071	0.0383099086	0.0615957327	0.03623803	0.246692239	0.185096506	0	0	0	0	0	3
12	23	0	0.107664444	0.0391582402	0.0597259417	0.03623803	0.246692239	0.186966297	0	0	0	0	0	3
13	24	0	0.116636481	0.0378358083	0.0580420852	0.03623803	0.246692239	0.188650154	0	0	0	0	0	3
14	25	0	0.125608518	0.036801968	0.056524934	0.03623803	0.246692239	0.190167305	0	0	0	0	0	3
15	26	0	0.134580555	0.0357946109	0.0551429125	0.0357946109	0.246692239	0.191549327	0	0	0	0	0	3
16	28	0	0.143552592	0.0367486085	0.0539932685	0.0357946109	0.246692239	0.192698971	0	0	0	0	0	3
17	29	0	0.152524629	0.0359316898	0.0529308227	0.0357946109	0.246692239	0.193761416	0	0	0	0	0	3
18	31	0	0.161496666	0.0362791531	0.0520057299	0.0357946109	0.246692239	0.194686509	0	0	0	0	0	3
