Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0129168965	0.558761946	0.558761946	0.558761946	0.558761946	0	0	0	0	0	0	3
2	4	0	0.0258337929	0.0596131529	0.30918755	0.0596131529	0.558761946	0.249574397	0	0	0	0	0	3
3	4	0	0.0387506894	0.027146197	0.215173765	0.027146197	0.558761946	0.343588181	0	0	0	0	0	3
4	4	0	0.0516675859	0.0350246562	0.170136488	0.027146197	0.558761946	0.388625458	0	0	0	0	0	3
5	5	0	0.0645844824	0.0256633719	0.141241865	0.0256633719	0.558761946	0.417520081	0	0	0	0	0	3
6	5	0	0.0775013788	0.0275613166	0.122295107	0.0256633719	0.558761946	0.436466839	0	0	0	0	0	3
7	5	0	0.0904182753	0.0213695823	0.107877175	0.0213695823	0.558761946	0.450884771	0	0	0	0	0	3
8	6	0	0.103335172	0.019833029	0.0968716565	0.019833029	0.558761946	0.46189029	0	0	0	0	0	3
9	6	0	0.116252068	0.0188456253	0.0882020975	0.0188456253	0.558761946	0.470559849	0	0	0	0	0	3
10	6	0	0.129168965	0.0185043068	0.0812323184	0.0185043068	0.558761946	0.477529628	0	0	0	0	0	3
11	7	0	0.142085861	0.0188048114	0.0755570905	0.0185043068	0.558761946	0.483204856	0	0	0	0	0	3
12	7	0	0.155002758	0.0191274958	0.0708546243	0.0185043068	0.558761946	0.487907322	0	0	0	0	0	3
13	7	0	0.167919654	0.0193709036	0.0668943381	0.0185043068	0.558761946	0.491867608	0	0	0	0	0	3
14	7	0	0.180836551	0.0196030006	0.0635163854	0.0185043068	0.558761946	0.495245561	0	0	0	0	0	3
15	8	0	0.193753447	0.0196221229	0.0605901012	0.0185043068	0.558761946	0.498171845	0	0	0	0	0	3
16	8	0	0.206670344	0.0192600528	0.0580069732	0.0185043068	0.558761946	0.500754973	0	0	0	0	0	3
17	9	0	0.21958724	0.0190029537	0.0557126191	0.0185043068	0.558761946	0.503049327	0	0	0	0	0	3
18	9	0	0.232504137	0.0190196023	0.0536741182	0.0185043068	0.558761946	0.505087828	0	0	0	0	0	3
19	9	0	0.245421033	0.0192081238	0.0518601185	0.0185043068	0.558761946	0.506901828	0	0	0	0	0	3
20	10	0	0.258337929	0.019366117	0.0502354184	0.0185043068	0.558761946	0.508526528	0	0	0	0	0	3
