Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0129073345	0	0	0	0	0	0	0	0	0	0	3
2	9	0	0.025814669	0	0	0	0	0	0	0	0	0	0	3
3	9	0	0.0387220035	0	0	0	0	0	0	0	0	0	0	3
4	10	0	0.051629338	0	0	0	0	0	0	0	0	0	0	3
5	10	0	0.0645366725	0	0	0	0	0	0	0	0	0	0	3
6	10	0	0.077444007	0	0	0	0	0	0	0	0	0	0	3
7	11	0	0.0903513415	0	0	0	0	0	0	0	0	0	0	3
8	12	0	0.103258676	0	0	0	0	0	0	0	0	0	0	3
9	13	0	0.11616601	0	0	0	0	0	0	0	0	0	0	3
10	15	0	0.129073345	0	0	0	0	0	0	0	0	0	0	3
11	16	0	0.141980679	0	0	0	0	0	0	0	0	0	0	3
12	18	0	0.154888014	0	0	0	0	0	0	0	0	0	0	3
13	19	0	0.167795348	0	0	0	0	0	0	0	0	0	0	3
14	21	0	0.180702683	0	0	0	0	0	0	0	0	0	0	3
15	22	0	0.193610017	0	0	0	0	0	0	0	0	0	0	3
16	24	0	0.206517352	0	0	0	0	0	0	0	0	0	0	3
17	25	0	0.219424686	0	0	0	0	0	0	0	0	0	0	3
18	27	0	0.232332021	0	0	0	0	0	0	0	0	0	0	3
19	29	0	0.245239355	0	0	0	0	0	0	0	0	0	0	3
20	30	0	0.25814669	0	0	0	0	0	0	0	0	0	0	3
21	32	0	0.271054024	0	0	0	0	0	0	0	0	0	0	3
22	33	0	0.283961359	0	0	0	0	0	0	0	0	0	0	3
23	34	0	0.296868693	0	0	0	0	0	0	0	0	0	0	3
24	36	0	0.309776028	0	0	0	0	0	0	0	0	0	0	3
25	37	0	0.322683362	0	0	0	0	0	0	0	0	0	0	3
26	39	0	0.335590697	0	0	0	0	0	0	0	0	0	0	3
27	40	0	0.348498031	0	0	0	0	0	0	0	0	0	0	3
28	42	0	0.361405366	0	0	0	0	0	0	0	0	0	0	3
29	43	0	0.3743127	0	0	0	0	0	0	0	0	0	0	3
30	44	0	0.387220035	0	0	0	0	0	0	0	0	0	0	3
31	44	0	0.400127369	0	0	0	0	0	0	0	0	0	0	3
32	45	0	0.413034704	0	0	0	0	0	0	0	0	0	0	3
33	45	0	0.425942038	0	0	0	0	0	0	0	0	0	0	3
34	45	0	0.438849373	0	0	0	0	0	0	0	0	0	0	3
35	46	0	0.451756707	0	0	0	0	0	0	0	0	0	0	3
36	46	0	0.464664042	0	0	0	0	0	0	0	0	0	0	3
37	46	0	0.477571376	0	0	0	0	0	0	0	0	0	0	3
38	47	0	0.490478711	0	0	0	0	0	0	0	0	0	0	3
39	47	0	0.503386045	0	0	0	0	0	0	0	0	0	0	3
40	47	0	0.51629338	0	0	0	0	0	0	0	0	0	0	3
41	48	0	0.529200714	0	0	0	0	0	0	0	0	0	0	3
42	48	0	0.542108049	0	0	0	0	0	0	0	0	0	0	3
43	48	0	0.555015383	0	0	0	0	0	0	0	0	0	0	3
44	49	0	0.567922718	0	0	0	0	0	0	0	0	0	0	3
45	49	0	0.580830052	0	0	0	0	0	0	0	0	0	0	3
46	50	0	0.593737387	0	0	0	0	0	0	0	0	0	0	3
47	50	0	0.606644721	0	0	0	0	0	0	0	0	0	0	3
48	50	0	0.619552056	0	0	0	0	0	0	0	0	0	0	3
49	51	0	0.63245939	0	0	0	0	0	0	0	0	0	0	3
50	51	0	0.645366725	0	0	0	0	0	0	0	0	0	0	3
51	51	0	0.658274059	0	0	0	0	0	0	0	0	0	0	3
52	52	0	0.671181394	0	0	0	0	0	0	0	0	0	0	3
53	52	0	0.684088728	0	0	0	0	0	0	0	0	0	0	3
54	52	0	0.696996063	0	0	0	0	0	0	0	0	0	0	3
55	53	0	0.709903397	0	0	0	0	0	0	0	0	0	0	3
56	53	0	0.722810732	0	0	0	0	0	0	0	0	0	0	3
57	53	0	0.735718066	0	0	0	0	0	0	0	0	0	0	3
58	54	0	0.748625401	0	0	0	0	0	0	0	0	0	0	3
59	54	0	0.761532735	0	0	0	0	0	0	0	0	0	0	3
60	54	0	0.77444007	0	0	0	0	0	0	0	0	0	0	3
61	55	0	0.787347404	0	0	0	0	0	0	0	0	0	0	3
62	55	0	0.800254739	0	0	0	0	0	0	0	0	0	0	3
63	56	0	0.813162073	0	0	0	0	0	0	0	0	0	0	3
64	56	0	0.826069408	0	0	0	0	0	0	0	0	0	0	3
65	56	0	0.838976742	0	0	0	0	0	0	0	0	0	0	3
66	57	0	0.851884077	0	0	0	0	0	0	0	0	0	0	3
67	57	0	0.864791411	0	0	0	0	0	0	0	0	0	0	3
68	57	0	0.877698746	0	0	0	0	0	0	0	0	0	0	3
69	58	0	0.89060608	0	0	0	0	0	0	0	0	0	0	3
70	58	0	0.903513415	0	0	0	0	0	0	0	0	0	0	3
71	58	0	0.916420749	0	0	0	0	0	0	0	0	0	0	3
72	59	0	0.929328084	0	0	0	0	0	0	0	0	0	0	3
73	59	0	0.942235418	0	0	0	0	0	0	0	0	0	0	3
74	59	0	0.955142753	0	0	0	0	0	0	0	0	0	0	3
75	60	0	0.968050087	0	0	0	0	0	0	0	0	0	0	3
76	60	0	0.980957422	0	0	0	0	0	0	0	0	0	0	3
77	60	0	0.993864756	0	0	0	0	0	0	0	0	0	0	3
78	61	0	1.00677209	0	0	0	0	0	5e-06	0	0	0	0	3
