Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129073345	101342.189	101342.189	101342.189	101342.189	0	0	0	0	0	0	3
2	3	0	0.025814669	101326.167	101334.178	101326.167	101342.189	8.01112155	0	0	0	0	0	3
3	3	0	0.0387220035	101324.596	101330.984	101324.596	101342.189	11.2050818	0	0	0	0	0	3
4	3	0	0.051629338	101324.78	101329.433	101324.596	101342.189	12.7560933	0	0	0	0	0	3
5	4	0	0.0645366725	101324.874	101328.521	101324.596	101342.189	13.6677768	0	0	0	0	0	3
6	4	0	0.077444007	101324.862	101327.911	101324.596	101342.189	14.2776978	0	0	0	0	0	3
7	4	0	0.0903513415	101324.883	101327.479	101324.596	101342.189	14.7102972	0	0	0	0	0	3
8	5	0	0.103258676	101324.873	101327.153	101324.596	101342.189	15.0359888	0	0	0	0	0	3
9	5	0	0.11616601	101324.884	101326.901	101324.596	101342.189	15.288094	0	0	0	0	0	3
10	5	0	0.129073345	101324.874	101326.698	101324.596	101342.189	15.4907804	0	0	0	0	0	3
11	6	0	0.141980679	101324.886	101326.533	101324.596	101342.189	15.6555593	0	0	0	0	0	3
12	6	0	0.154888014	101324.888	101326.396	101324.596	101342.189	15.7926388	0	0	0	0	0	3
13	6	0	0.167795348	101324.893	101326.281	101324.596	101342.189	15.9083176	0	0	0	0	0	3
14	7	0	0.180702683	101324.897	101326.182	101324.596	101342.189	16.0071799	0	0	0	0	0	3
15	7	0	0.193610017	101324.899	101326.096	101324.596	101342.189	16.0926913	0	0	0	0	0	3
16	7	0	0.206517352	101324.903	101326.022	101324.596	101342.189	16.1672445	0	0	0	0	0	3
17	8	0	0.219424686	101324.907	101325.956	101324.596	101342.189	16.2328296	0	0	0	0	0	3
18	8	0	0.232332021	101324.91	101325.898	101324.596	101342.189	16.2909343	0	0	0	0	0	3
19	8	0	0.245239355	101324.912	101325.846	101324.596	101342.189	16.3428292	0	0	0	0	0	3
20	9	0	0.25814669	101324.912	101325.799	101324.596	101342.189	16.3895276	0	0	0	0	0	3
21	9	0	0.271054024	101324.914	101325.757	101324.596	101342.189	16.4316811	0	0	0	0	0	3
22	9	0	0.283961359	101324.915	101325.719	101324.596	101342.189	16.4699656	0	0	0	0	0	3
23	10	0	0.296868693	101324.916	101325.684	101324.596	101342.189	16.5048705	0	0	0	0	0	3
24	10	0	0.309776028	101324.915	101325.652	101324.596	101342.189	16.5369	0	0	0	0	0	3
25	10	0	0.322683362	101324.918	101325.623	101324.596	101342.189	16.5662795	0	0	0	0	0	3
26	11	0	0.335590697	101324.925	101325.596	101324.596	101342.189	16.593127	0	0	0	0	0	3
27	11	0	0.348498031	101324.925	101325.571	101324.596	101342.189	16.617985	0	0	0	0	0	3
28	11	0	0.361405366	101324.922	101325.548	101324.596	101342.189	16.6411524	0	0	0	0	0	3
29	12	0	0.3743127	101324.921	101325.526	101324.596	101342.189	16.6627829	0	0	0	0	0	3
30	12	0	0.387220035	101324.925	101325.506	101324.596	101342.189	16.6828197	0	0	0	0	0	3
31	12	0	0.400127369	101324.924	101325.487	101324.596	101342.189	16.7015901	0	0	0	0	0	3
32	13	0	0.413034704	101324.923	101325.47	101324.596	101342.189	16.7192361	0	0	0	0	0	3
33	13	0	0.425942038	101324.925	101325.453	101324.596	101342.189	16.7357483	0	0	0	0	0	3
34	13	0	0.438849373	101324.924	101325.438	101324.596	101342.189	16.7513143	0	0	0	0	0	3
35	14	0	0.451756707	101324.922	101325.423	101324.596	101342.189	16.7660482	0	0	0	0	0	3
36	14	0	0.464664042	101324.923	101325.409	101324.596	101342.189	16.7799484	0	0	0	0	0	3
37	14	0	0.477571376	101324.923	101325.396	101324.596	101342.189	16.7930869	0	0	0	0	0	3
38	15	0	0.490478711	101324.922	101325.383	101324.596	101342.189	16.8055529	0	0	0	0	0	3
39	15	0	0.503386045	101324.922	101325.372	101324.596	101342.189	16.8173717	0	0	0	0	0	3
40	15	0	0.51629338	101324.923	101324.929	101324.596	101326.167	1.57075923	0	0	0	0	0	3
41	15	0	0.529200714	101324.923	101324.897	101324.596	101324.925	0.329115749	0	0	0	0	0	3
42	16	0	0.542108049	101324.923	101324.905	101324.78	101324.925	0.145241254	0	0	0	0	0	3
