Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0129073345	293.199953	293.199953	293.199953	293.199953	0	0	0	0	0	0	3
2	3	0	0.025814669	293.199943	293.199948	293.199943	293.199953	5.02553411e-06	0	0	0	0	0	3
3	3	0	0.0387220035	293.199942	293.199946	293.199942	293.199953	6.96868779e-06	0	0	0	0	0	3
4	4	0	0.051629338	293.199942	293.199945	293.199942	293.199953	8.13610217e-06	0	0	0	0	0	3
5	4	0	0.0645366725	293.199941	293.199944	293.199941	293.199953	8.99807969e-06	0	0	0	0	0	3
6	4	0	0.077444007	293.199939	293.199943	293.199939	293.199953	9.81631104e-06	0	0	0	0	0	3
7	5	0	0.0903513415	293.199938	293.199943	293.199938	293.199953	1.06412895e-05	0	0	0	0	0	3
8	5	0	0.103258676	293.199936	293.199942	293.199936	293.199953	1.14747855e-05	0	0	0	0	0	3
9	5	0	0.11616601	293.199934	293.199941	293.199934	293.199953	1.23088863e-05	0	0	0	0	0	3
10	6	0	0.129073345	293.199933	293.19994	293.199933	293.199953	1.31338404e-05	0	0	0	0	0	3
11	6	0	0.141980679	293.19993	293.199939	293.19993	293.199953	1.40069632e-05	0	0	0	0	0	3
12	6	0	0.154888014	293.199928	293.199938	293.199928	293.199953	1.49011077e-05	0	0	0	0	0	3
13	7	0	0.167795348	293.199927	293.199937	293.199927	293.199953	1.57970754e-05	0	0	0	0	0	3
14	7	0	0.180702683	293.199925	293.199937	293.199925	293.199953	1.66794626e-05	0	0	0	0	0	3
15	7	0	0.193610017	293.199924	293.199936	293.199924	293.199953	1.75374405e-05	0	0	0	0	0	3
16	8	0	0.206517352	293.199922	293.199935	293.199922	293.199953	1.83893256e-05	0	0	0	0	0	3
17	8	0	0.219424686	293.199921	293.199934	293.199921	293.199953	1.92116057e-05	0	0	0	0	0	3
18	8	0	0.232332021	293.19992	293.199933	293.19992	293.199953	1.99885881e-05	0	0	0	0	0	3
19	9	0	0.245239355	293.199919	293.199933	293.199919	293.199953	2.07128841e-05	0	0	0	0	0	3
20	9	0	0.25814669	293.199919	293.199932	293.199919	293.199953	2.13815005e-05	0	0	0	0	0	3
21	9	0	0.271054024	293.199919	293.199931	293.199919	293.199953	2.19997493e-05	0	0	0	0	0	3
22	10	0	0.283961359	293.199919	293.199931	293.199919	293.199953	2.25630466e-05	0	0	0	0	0	3
23	10	0	0.296868693	293.199919	293.19993	293.199919	293.199953	2.30793393e-05	0	0	0	0	0	3
24	10	0	0.309776028	293.199919	293.19993	293.199919	293.199953	2.35531002e-05	0	0	0	0	0	3
25	11	0	0.322683362	293.199919	293.199929	293.199919	293.199953	2.39897074e-05	0	0	0	0	0	3
26	11	0	0.335590697	293.199919	293.199929	293.199919	293.199953	2.43938628e-05	0	0	0	0	0	3
27	11	0	0.348498031	293.199919	293.199928	293.199919	293.199953	2.47678435e-05	0	0	0	0	0	3
28	12	0	0.361405366	293.199919	293.199928	293.199919	293.199953	2.51150179e-05	0	0	0	0	0	3
29	12	0	0.3743127	293.199919	293.199928	293.199919	293.199953	2.54396111e-05	0	0	0	0	0	3
30	12	0	0.387220035	293.199919	293.199927	293.199919	293.199953	2.57435732e-05	0	0	0	0	0	3
31	13	0	0.400127369	293.199919	293.199927	293.199919	293.199953	2.60278213e-05	0	0	0	0	0	3
32	13	0	0.413034704	293.199919	293.199927	293.199919	293.199953	2.62942868e-05	0	0	0	0	0	3
33	13	0	0.425942038	293.199919	293.199927	293.199919	293.199953	2.65458747e-05	0	0	0	0	0	3
34	14	0	0.438849373	293.199919	293.199926	293.199919	293.199953	2.67818538e-05	0	0	0	0	0	3
