Iteration	CPUTime	PhysTime	Travels
1	6	0	0.0129074085
2	7	0	0.025814817
3	9	0	0.0387222255
4	10	0	0.051629634
5	11	0	0.0645370425
6	12	0	0.0774444511
7	13	0	0.0903518596
8	14	0	0.103259268
9	15	0	0.116166677
10	16	0	0.129074085
11	17	0	0.141981494
12	18	0	0.154888902
13	19	0	0.167796311
14	20	0	0.180703719
15	20	0	0.193611128
16	21	0	0.206518536
17	21	0	0.219425945
18	21	0	0.232333353
19	22	0	0.245240762
20	22	0	0.25814817
21	22	0	0.271055579
22	23	0	0.283962987
23	23	0	0.296870396
24	23	0	0.309777804
25	24	0	0.322685213
26	24	0	0.335592621
27	24	0	0.34850003
28	25	0	0.361407438
29	25	0	0.374314847
30	26	0	0.387222255
31	26	0	0.400129664
32	27	0	0.413037072
33	28	0	0.425944481
34	28	0	0.438851889
35	29	0	0.451759298
36	30	0	0.464666706
37	31	0	0.477574115
38	31	0	0.490481523
39	32	0	0.503388932
40	33	0	0.51629634
41	33	0	0.529203749
42	34	0	0.542111157
43	35	0	0.555018566
44	35	0	0.567925974
45	36	0	0.580833383
46	37	0	0.593740791
47	38	0	0.6066482
48	38	0	0.619555608
49	39	0	0.632463017
50	40	0	0.645370425
51	40	0	0.658277834
52	41	0	0.671185242
53	42	0	0.684092651
54	42	0	0.697000059
55	43	0	0.709907468
56	44	0	0.722814876
57	45	0	0.735722285
58	45	0	0.748629693
59	46	0	0.761537102
60	47	0	0.774444511
61	48	0	0.787351919
62	48	0	0.800259328
63	49	0	0.813166736
64	50	0	0.826074145
65	50	0	0.838981553
66	51	0	0.851888962
67	52	0	0.86479637
68	53	0	0.877703779
69	54	0	0.890611187
70	54	0	0.903518596
71	55	0	0.916426004
72	56	0	0.929333413
73	56	0	0.942240821
74	57	0	0.95514823
75	58	0	0.968055638
76	58	0	0.980963047
77	59	0	0.993870455
78	60	0	1.00677786
