Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0129074085	0.609046624	0.609046624	0.609046624	0.609046624	0	0	0	0	0	0	3
2	6	0	0.025814817	0.166589672	0.387818148	0.166589672	0.609046624	0.221228476	0	0	0	0	0	3
3	6	0	0.0387222255	0.129006776	0.301547691	0.129006776	0.609046624	0.307498933	0	0	0	0	0	3
4	7	0	0.051629634	0.0797334707	0.246094136	0.0797334707	0.609046624	0.362952488	0	0	0	0	0	3
5	8	0	0.0645370425	0.0988475804	0.216644825	0.0797334707	0.609046624	0.392401799	0	0	0	0	0	3
6	9	0	0.0774444511	0.0872990563	0.195087197	0.0797334707	0.609046624	0.413959427	0	0	0	0	0	3
7	10	0	0.0903518596	0.0922119008	0.180390726	0.0797334707	0.609046624	0.428655898	0	0	0	0	0	3
8	11	0	0.103259268	0.0892292594	0.168995542	0.0797334707	0.609046624	0.440051081	0	0	0	0	0	3
9	12	0	0.116166677	0.0897207135	0.160187228	0.0797334707	0.609046624	0.448859396	0	0	0	0	0	3
10	12	0	0.129074085	0.0891209795	0.153080603	0.0797334707	0.609046624	0.45596602	0	0	0	0	0	3
11	13	0	0.141981494	0.0896288134	0.147312259	0.0797334707	0.609046624	0.461734365	0	0	0	0	0	3
12	14	0	0.154888902	0.0912028305	0.142636473	0.0797334707	0.609046624	0.466410151	0	0	0	0	0	3
13	15	0	0.167796311	0.0919232754	0.138735458	0.0797334707	0.609046624	0.470311166	0	0	0	0	0	3
14	16	0	0.180703719	0.092954226	0.13546537	0.0797334707	0.609046624	0.473581254	0	0	0	0	0	3
15	16	0	0.193611128	0.0931660304	0.132645414	0.0797334707	0.609046624	0.47640121	0	0	0	0	0	3
16	17	0	0.206518536	0.0939473062	0.130226782	0.0797334707	0.609046624	0.478819842	0	0	0	0	0	3
17	18	0	0.219425945	0.0946167587	0.128132075	0.0797334707	0.609046624	0.480914549	0	0	0	0	0	3
18	19	0	0.232333353	0.0948635073	0.126283821	0.0797334707	0.609046624	0.482762803	0	0	0	0	0	3
19	20	0	0.245240762	0.0950325667	0.124639018	0.0797334707	0.609046624	0.484407605	0	0	0	0	0	3
20	20	0	0.25814817	0.0957638892	0.123195262	0.0797334707	0.609046624	0.485851362	0	0	0	0	0	3
21	21	0	0.271055579	0.0961213129	0.121906026	0.0797334707	0.609046624	0.487140598	0	0	0	0	0	3
22	22	0	0.283962987	0.096492193	0.120750852	0.0797334707	0.609046624	0.488295772	0	0	0	0	0	3
23	23	0	0.296870396	0.0966103577	0.119701265	0.0797334707	0.609046624	0.489345358	0	0	0	0	0	3
24	23	0	0.309777804	0.0971050379	0.118759756	0.0797334707	0.609046624	0.490286868	0	0	0	0	0	3
25	24	0	0.322685213	0.0974859294	0.117908803	0.0797334707	0.609046624	0.491137821	0	0	0	0	0	3
26	25	0	0.335592621	0.0978529438	0.117137424	0.0797334707	0.609046624	0.4919092	0	0	0	0	0	3
27	26	0	0.34850003	0.0981743976	0.116435089	0.0797334707	0.609046624	0.492611534	0	0	0	0	0	3
28	26	0	0.361407438	0.0985290777	0.115795589	0.0797334707	0.609046624	0.493251035	0	0	0	0	0	3
29	27	0	0.374314847	0.0989253224	0.115213855	0.0797334707	0.609046624	0.493832768	0	0	0	0	0	3
30	28	0	0.387222255	0.099319647	0.114684049	0.0797334707	0.609046624	0.494362575	0	0	0	0	0	3
31	29	0	0.400129664	0.0994438041	0.114192428	0.0797334707	0.609046624	0.494854196	0	0	0	0	0	3
32	29	0	0.413037072	0.0995866424	0.113735997	0.0797334707	0.609046624	0.495310627	0	0	0	0	0	3
33	30	0	0.425944481	0.0996456025	0.113309015	0.0797334707	0.609046624	0.495737608	0	0	0	0	0	3
34	31	0	0.438851889	0.0997854075	0.112911262	0.0797334707	0.609046624	0.496135362	0	0	0	0	0	3
35	31	0	0.451759298	0.0998797192	0.112538932	0.0797334707	0.609046624	0.496507691	0	0	0	0	0	3
36	32	0	0.464666706	0.100013838	0.112191013	0.0797334707	0.609046624	0.496855611	0	0	0	0	0	3
37	33	0	0.477574115	0.100087787	0.111863899	0.0797334707	0.609046624	0.497182725	0	0	0	0	0	3
38	34	0	0.490481523	0.100181127	0.111556457	0.0797334707	0.609046624	0.497490166	0	0	0	0	0	3
39	34	0	0.503388932	0.100249701	0.111266541	0.0797334707	0.609046624	0.497780083	0	0	0	0	0	3
40	35	0	0.51629634	0.100356699	0.0982232092	0.0797334707	0.166589672	0.0868562016	0	0	0	0	0	3
41	36	0	0.529203749	0.100399151	0.0965260164	0.0797334707	0.129006776	0.0492733054	0	0	0	0	0	3
42	37	0	0.542111157	0.100441562	0.095793575	0.0797334707	0.100441562	0.0207080909	0	0	0	0	0	3
43	37	0	0.555018566	0.100463977	0.0963251265	0.0872990563	0.100463977	0.0131649211	0	0	0	0	0	3
44	38	0	0.567925974	0.100503135	0.0963675766	0.0872990563	0.100503135	0.0132040787	0	0	0	0	0	3
45	39	0	0.580833383	0.100531586	0.0967068722	0.0891209795	0.100531586	0.0114106062	0	0	0	0	0	3
46	40	0	0.593740791	0.100599678	0.0969219434	0.0891209795	0.100599678	0.0114786987	0	0	0	0	0	3
47	40	0	0.6066482	0.100596328	0.0972134067	0.0891209795	0.100599678	0.0114786987	0	0	0	0	0	3
48	41	0	0.619555608	0.100626756	0.0974930488	0.0891209795	0.100626756	0.0115057768	0	0	0	0	0	3
49	42	0	0.632463017	0.100609623	0.0977876294	0.0896288134	0.100626756	0.0109979429	0	0	0	0	0	3
50	42	0	0.645370425	0.100618321	0.0980694117	0.0912028305	0.100626756	0.00942392583	0	0	0	0	0	3
51	43	0	0.658277834	0.100609643	0.098310612	0.0919232754	0.100626756	0.00870348096	0	0	0	0	0	3
52	44	0	0.671185242	0.100601378	0.0985331275	0.092954226	0.100626756	0.00767253035	0	0	0	0	0	3
53	45	0	0.684092651	0.100566055	0.0987283026	0.0931660304	0.100626756	0.00746072591	0	0	0	0	0	3
54	45	0	0.697000059	0.100573384	0.0989182347	0.0939473062	0.100626756	0.00667945011	0	0	0	0	0	3
55	46	0	0.709907468	0.100551574	0.0990875749	0.0946167587	0.100626756	0.00600999761	0	0	0	0	0	3
56	47	0	0.722814876	0.100569035	0.0992401974	0.0948635073	0.100626756	0.00576324897	0	0	0	0	0	3
57	48	0	0.735722285	0.100539238	0.0993857289	0.0950325667	0.100626756	0.00559418965	0	0	0	0	0	3
58	48	0	0.748629693	0.100542272	0.0995270034	0.0957638892	0.100626756	0.00486286707	0	0	0	0	0	3
59	49	0	0.761537102	0.100515058	0.0996488282	0.0961213129	0.100626756	0.00450544338	0	0	0	0	0	3
60	50	0	0.774444511	0.100543671	0.099762222	0.096492193	0.100626756	0.00413456329	0	0	0	0	0	3
61	50	0	0.787351919	0.100544245	0.0998661208	0.0966103577	0.100626756	0.00401639861	0	0	0	0	0	3
62	51	0	0.800259328	0.100556413	0.0999673017	0.0971050379	0.100626756	0.00352171842	0	0	0	0	0	3
63	52	0	0.813166736	0.100554222	0.100055742	0.0974859294	0.100626756	0.00314082693	0	0	0	0	0	3
64	52	0	0.826074145	0.100603627	0.100135683	0.0978529438	0.100626756	0.00277381254	0	0	0	0	0	3
