Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0129074085	0	0	0	0	0	0	0	0	0	0	3
2	6	0	0.025814817	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.0387222255	0	0	0	0	0	0	0	0	0	0	3
4	7	0	0.051629634	0	0	0	0	0	0	0	0	0	0	3
5	8	0	0.0645370425	0	0	0	0	0	0	0	0	0	0	3
6	9	0	0.0774444511	0	0	0	0	0	0	0	0	0	0	3
7	10	0	0.0903518596	0	0	0	0	0	0	0	0	0	0	3
8	11	0	0.103259268	0	0	0	0	0	0	0	0	0	0	3
9	12	0	0.116166677	0	0	0	0	0	0	0	0	0	0	3
10	12	0	0.129074085	0	0	0	0	0	0	0	0	0	0	3
11	13	0	0.141981494	0	0	0	0	0	0	0	0	0	0	3
12	14	0	0.154888902	0	0	0	0	0	0	0	0	0	0	3
13	15	0	0.167796311	0	0	0	0	0	0	0	0	0	0	3
14	16	0	0.180703719	0	0	0	0	0	0	0	0	0	0	3
15	16	0	0.193611128	0	0	0	0	0	0	0	0	0	0	3
16	17	0	0.206518536	0	0	0	0	0	0	0	0	0	0	3
17	18	0	0.219425945	0	0	0	0	0	0	0	0	0	0	3
18	19	0	0.232333353	0	0	0	0	0	0	0	0	0	0	3
19	20	0	0.245240762	0	0	0	0	0	0	0	0	0	0	3
20	20	0	0.25814817	0	0	0	0	0	0	0	0	0	0	3
21	21	0	0.271055579	0	0	0	0	0	0	0	0	0	0	3
22	22	0	0.283962987	0	0	0	0	0	0	0	0	0	0	3
23	23	0	0.296870396	0	0	0	0	0	0	0	0	0	0	3
24	23	0	0.309777804	0	0	0	0	0	0	0	0	0	0	3
25	24	0	0.322685213	0	0	0	0	0	0	0	0	0	0	3
26	25	0	0.335592621	0	0	0	0	0	0	0	0	0	0	3
27	26	0	0.34850003	0	0	0	0	0	0	0	0	0	0	3
28	26	0	0.361407438	0	0	0	0	0	0	0	0	0	0	3
29	27	0	0.374314847	0	0	0	0	0	0	0	0	0	0	3
30	28	0	0.387222255	0	0	0	0	0	0	0	0	0	0	3
31	29	0	0.400129664	0	0	0	0	0	0	0	0	0	0	3
32	29	0	0.413037072	0	0	0	0	0	0	0	0	0	0	3
33	30	0	0.425944481	0	0	0	0	0	0	0	0	0	0	3
34	31	0	0.438851889	0	0	0	0	0	0	0	0	0	0	3
35	31	0	0.451759298	0	0	0	0	0	0	0	0	0	0	3
36	32	0	0.464666706	0	0	0	0	0	0	0	0	0	0	3
37	33	0	0.477574115	0	0	0	0	0	0	0	0	0	0	3
38	34	0	0.490481523	0	0	0	0	0	0	0	0	0	0	3
39	34	0	0.503388932	0	0	0	0	0	0	0	0	0	0	3
40	35	0	0.51629634	0	0	0	0	0	0	0	0	0	0	3
41	36	0	0.529203749	0	0	0	0	0	0	0	0	0	0	3
42	37	0	0.542111157	0	0	0	0	0	0	0	0	0	0	3
43	37	0	0.555018566	0	0	0	0	0	0	0	0	0	0	3
44	38	0	0.567925974	0	0	0	0	0	0	0	0	0	0	3
45	39	0	0.580833383	0	0	0	0	0	0	0	0	0	0	3
46	40	0	0.593740791	0	0	0	0	0	0	0	0	0	0	3
47	40	0	0.6066482	0	0	0	0	0	0	0	0	0	0	3
48	41	0	0.619555608	0	0	0	0	0	0	0	0	0	0	3
49	42	0	0.632463017	0	0	0	0	0	0	0	0	0	0	3
50	42	0	0.645370425	0	0	0	0	0	0	0	0	0	0	3
51	43	0	0.658277834	0	0	0	0	0	0	0	0	0	0	3
52	44	0	0.671185242	0	0	0	0	0	0	0	0	0	0	3
53	45	0	0.684092651	0	0	0	0	0	0	0	0	0	0	3
54	45	0	0.697000059	0	0	0	0	0	0	0	0	0	0	3
55	46	0	0.709907468	0	0	0	0	0	0	0	0	0	0	3
56	47	0	0.722814876	0	0	0	0	0	0	0	0	0	0	3
57	48	0	0.735722285	0	0	0	0	0	0	0	0	0	0	3
58	48	0	0.748629693	0	0	0	0	0	0	0	0	0	0	3
59	49	0	0.761537102	0	0	0	0	0	0	0	0	0	0	3
60	50	0	0.774444511	0	0	0	0	0	0	0	0	0	0	3
61	50	0	0.787351919	0	0	0	0	0	0	0	0	0	0	3
62	51	0	0.800259328	0	0	0	0	0	0	0	0	0	0	3
63	52	0	0.813166736	0	0	0	0	0	0	0	0	0	0	3
64	52	0	0.826074145	0	0	0	0	0	0	0	0	0	0	3
65	53	0	0.838981553	0	0	0	0	0	0	0	0	0	0	3
66	54	0	0.851888962	0	0	0	0	0	0	0	0	0	0	3
67	54	0	0.86479637	0	0	0	0	0	0	0	0	0	0	3
68	55	0	0.877703779	0	0	0	0	0	0	0	0	0	0	3
69	56	0	0.890611187	0	0	0	0	0	0	0	0	0	0	3
70	57	0	0.903518596	0	0	0	0	0	0	0	0	0	0	3
71	57	0	0.916426004	0	0	0	0	0	0	0	0	0	0	3
72	58	0	0.929333413	0	0	0	0	0	0	0	0	0	0	3
73	59	0	0.942240821	0	0	0	0	0	0	0	0	0	0	3
74	59	0	0.95514823	0	0	0	0	0	0	0	0	0	0	3
75	60	0	0.968055638	0	0	0	0	0	0	0	0	0	0	3
76	61	0	0.980963047	0	0	0	0	0	0	0	0	0	0	3
77	62	0	0.993870455	0	0	0	0	0	0	0	0	0	0	3
78	63	0	1.00677786	0	0	0	0	0	0.001	0	0	0	0	3
