Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00964598665	-3.45751603	-3.45751603	-3.45751603	-3.45751603	0	0	0	0	0	0	3
2	9	0	0.0192919733	-3.34404791	-3.40078197	-3.45751603	-3.34404791	0.0567340606	0	0	0	0	0	3
3	11	0	0.0289379599	-0.376063042	-2.39254232	-3.45751603	-0.376063042	1.0649737	0	0	0	0	0	3
4	13	0	0.0385839466	-0.214742449	-1.84809236	-3.45751603	-0.214742449	1.60942367	0	0	0	0	0	3
5	14	0	0.0482299332	0.644148862	-1.34964411	-3.45751603	0.644148862	2.10787191	0	0	0	0	0	3
6	15	0	0.0578759199	-0.0140879757	-1.12705142	-3.45751603	0.644148862	2.3304646	0	0	0	0	0	3
7	15	0	0.0675219065	0.149013724	-0.944756402	-3.45751603	0.644148862	2.51275963	0	0	0	0	0	3
8	16	0	0.0771678932	0.226769151	-0.798315708	-3.45751603	0.644148862	2.65920032	0	0	0	0	0	3
9	17	0	0.0868138798	-0.37168672	-0.750912487	-3.45751603	0.644148862	2.70660354	0	0	0	0	0	3
10	19	0	0.0964598665	-0.319110158	-0.707732254	-3.45751603	0.644148862	2.74978377	0	0	0	0	0	3
11	20	0	0.106105853	-0.467838026	-0.685923688	-3.45751603	0.644148862	2.77159234	0	0	0	0	0	3
12	20	0	0.11575184	-0.731630108	-0.689732556	-3.45751603	0.644148862	2.77159234	0	0	0	0	0	3
13	22	0	0.125397826	-0.53814573	-0.678072031	-3.45751603	0.644148862	2.779444	0	0	0	0	0	3
14	23	0	0.135043813	-0.643861526	-0.675628424	-3.45751603	0.644148862	2.7818876	0	0	0	0	0	3
15	25	0	0.1446898	-0.609355932	-0.671210258	-3.45751603	0.644148862	2.78630577	0	0	0	0	0	3
16	27	0	0.154335786	-0.473258694	-0.658838285	-3.45751603	0.644148862	2.79867774	0	0	0	0	0	3
17	28	0	0.163981773	-0.492461766	-0.649051431	-3.45751603	0.644148862	2.8084646	0	0	0	0	0	3
18	30	0	0.17362776	-0.176524882	-0.622799956	-3.45751603	0.644148862	2.83471607	0	0	0	0	0	3
19	32	0	0.183273746	-0.26674811	-0.604060385	-3.45751603	0.644148862	2.85345564	0	0	0	0	0	3
20	33	0	0.192919733	-0.0652349545	-0.577119114	-3.45751603	0.644148862	2.88039691	0	0	0	0	0	3
21	35	0	0.20256572	-0.112522786	-0.554995479	-3.45751603	0.644148862	2.90252055	0	0	0	0	0	3
22	37	0	0.212211706	0.00326133772	-0.529620169	-3.45751603	0.644148862	2.92789586	0	0	0	0	0	3
23	38	0	0.221857693	0.15981072	-0.499644913	-3.45751603	0.644148862	2.95787111	0	0	0	0	0	3
24	40	0	0.23150368	0.135383651	-0.473185389	-3.45751603	0.644148862	2.98433064	0	0	0	0	0	3
25	41	0	0.241149666	0.127034773	-0.449176583	-3.45751603	0.644148862	3.00833944	0	0	0	0	0	3
26	43	0	0.250795653	0.231821807	-0.422984337	-3.45751603	0.644148862	3.03453169	0	0	0	0	0	3
27	45	0	0.260441639	0.0418179985	-0.405769436	-3.45751603	0.644148862	3.05174659	0	0	0	0	0	3
28	46	0	0.270087626	-0.0380044557	-0.392634972	-3.45751603	0.644148862	3.06488105	0	0	0	0	0	3
