Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00964598665	0	0	0	0	0	0	0	0	0	0	3
2	9	0	0.0192919733	0	0	0	0	0	0	0	0	0	0	3
3	11	0	0.0289379599	0	0	0	0	0	0	0	0	0	0	3
4	13	0	0.0385839466	0	0	0	0	0	0	0	0	0	0	3
5	14	0	0.0482299332	0	0	0	0	0	0	0	0	0	0	3
6	15	0	0.0578759199	0	0	0	0	0	0	0	0	0	0	3
7	15	0	0.0675219065	0	0	0	0	0	0	0	0	0	0	3
8	16	0	0.0771678932	0	0	0	0	0	0	0	0	0	0	3
9	17	0	0.0868138798	0	0	0	0	0	0	0	0	0	0	3
10	19	0	0.0964598665	0	0	0	0	0	0	0	0	0	0	3
11	20	0	0.106105853	0	0	0	0	0	0	0	0	0	0	3
12	20	0	0.11575184	0	0	0	0	0	0	0	0	0	0	3
13	22	0	0.125397826	0	0	0	0	0	0	0	0	0	0	3
14	23	0	0.135043813	0	0	0	0	0	0	0	0	0	0	3
15	25	0	0.1446898	0	0	0	0	0	0	0	0	0	0	3
16	27	0	0.154335786	0	0	0	0	0	0	0	0	0	0	3
17	28	0	0.163981773	0	0	0	0	0	0	0	0	0	0	3
18	30	0	0.17362776	0	0	0	0	0	0	0	0	0	0	3
19	32	0	0.183273746	0	0	0	0	0	0	0	0	0	0	3
20	33	0	0.192919733	0	0	0	0	0	0	0	0	0	0	3
21	35	0	0.20256572	0	0	0	0	0	0	0	0	0	0	3
22	37	0	0.212211706	0	0	0	0	0	0	0	0	0	0	3
23	38	0	0.221857693	0	0	0	0	0	0	0	0	0	0	3
24	40	0	0.23150368	0	0	0	0	0	0	0	0	0	0	3
25	41	0	0.241149666	0	0	0	0	0	0	0	0	0	0	3
26	43	0	0.250795653	0	0	0	0	0	0	0	0	0	0	3
27	45	0	0.260441639	0	0	0	0	0	0	0	0	0	0	3
28	46	0	0.270087626	0	0	0	0	0	0	0	0	0	0	3
29	48	0	0.279733613	0	0	0	0	0	0	0	0	0	0	3
30	50	0	0.289379599	0	0	0	0	0	0	0	0	0	0	3
31	53	0	0.299025586	0	0	0	0	0	0	0	0	0	0	3
32	56	0	0.308671573	0	0	0	0	0	0	0	0	0	0	3
33	59	0	0.318317559	0	0	0	0	0	0	0	0	0	0	3
34	62	0	0.327963546	0	0	0	0	0	0	0	0	0	0	3
35	66	0	0.337609533	0	0	0	0	0	0	0	0	0	0	3
36	69	0	0.347255519	0	0	0	0	0	0	0	0	0	0	3
37	72	0	0.356901506	0	0	0	0	0	0	0	0	0	0	3
38	76	0	0.366547493	0	0	0	0	0	0	0	0	0	0	3
39	79	0	0.376193479	0	0	0	0	0	0	0	0	0	0	3
40	82	0	0.385839466	0	0	0	0	0	0	0	0	0	0	3
41	87	0	0.395485453	0	0	0	0	0	0	0	0	0	0	3
42	90	0	0.405131439	0	0	0	0	0	0	0	0	0	0	3
43	94	0	0.414777426	0	0	0	0	0	0	0	0	0	0	3
44	98	0	0.424423413	0	0	0	0	0	0	0	0	0	0	3
45	101	0	0.434069399	0	0	0	0	0	0	0	0	0	0	3
46	105	0	0.443715386	0	0	0	0	0	0	0	0	0	0	3
47	109	0	0.453361372	0	0	0	0	0	0	0	0	0	0	3
48	112	0	0.463007359	0	0	0	0	0	0	0	0	0	0	3
49	114	0	0.472653346	0	0	0	0	0	0	0	0	0	0	3
50	114	0	0.482299332	0	0	0	0	0	0	0	0	0	0	3
51	115	0	0.491945319	0	0	0	0	0	0	0	0	0	0	3
52	115	0	0.501591306	0	0	0	0	0	0	0	0	0	0	3
53	116	0	0.511237292	0	0	0	0	0	0	0	0	0	0	3
54	117	0	0.520883279	0	0	0	0	0	0	0	0	0	0	3
55	117	0	0.530529266	0	0	0	0	0	0	0	0	0	0	3
56	118	0	0.540175252	0	0	0	0	0	0	0	0	0	0	3
57	119	0	0.549821239	0	0	0	0	0	0	0	0	0	0	3
58	119	0	0.559467226	0	0	0	0	0	0	0	0	0	0	3
59	120	0	0.569113212	0	0	0	0	0	0	0	0	0	0	3
60	123	0	0.578759199	0	0	0	0	0	0	0	0	0	0	3
61	126	0	0.588405186	0	0	0	0	0	0	0	0	0	0	3
62	132	0	0.598051172	0	0	0	0	0	0	0	0	0	0	3
63	136	0	0.607697159	0	0	0	0	0	0	0	0	0	0	3
64	141	0	0.617343145	0	0	0	0	0	0	0	0	0	0	3
65	145	0	0.626989132	0	0	0	0	0	0	0	0	0	0	3
66	148	0	0.636635119	0	0	0	0	0	0	0	0	0	0	3
67	152	0	0.646281105	0	0	0	0	0	0	0	0	0	0	3
68	156	0	0.655927092	0	0	0	0	0	0	0	0	0	0	3
69	161	0	0.665573079	0	0	0	0	0	0	0	0	0	0	3
70	165	0	0.675219065	0	0	0	0	0	0	0	0	0	0	3
71	169	0	0.684865052	0	0	0	0	0	0	0	0	0	0	3
72	172	0	0.694511039	0	0	0	0	0	0	0	0	0	0	3
73	177	0	0.704157025	0	0	0	0	0	0	0	0	0	0	3
74	182	0	0.713803012	0	0	0	0	0	0	0	0	0	0	3
75	186	0	0.723448999	0	0	0	0	0	0	0	0	0	0	3
76	189	0	0.733094985	0	0	0	0	0	0	0	0	0	0	3
77	192	0	0.742740972	0	0	0	0	0	0	0	0	0	0	3
78	195	0	0.752386959	0	0	0	0	0	0	0	0	0	0	3
79	195	0	0.762032945	0	0	0	0	0	0	0	0	0	0	3
80	196	0	0.771678932	0	0	0	0	0	0	0	0	0	0	3
81	197	0	0.781324918	0	0	0	0	0	0	0	0	0	0	3
82	197	0	0.790970905	0	0	0	0	0	0	0	0	0	0	3
83	198	0	0.800616892	0	0	0	0	0	0	0	0	0	0	3
84	198	0	0.810262878	0	0	0	0	0	0	0	0	0	0	3
85	199	0	0.819908865	0	0	0	0	0	0	0	0	0	0	3
86	200	0	0.829554852	0	0	0	0	0	0	0	0	0	0	3
87	200	0	0.839200838	0	0	0	0	0	0	0	0	0	0	3
88	201	0	0.848846825	0	0	0	0	0	0	0	0	0	0	3
89	202	0	0.858492812	0	0	0	0	0	0	0	0	0	0	3
90	202	0	0.868138798	0	0	0	0	0	0	0	0	0	0	3
91	203	0	0.877784785	0	0	0	0	0	0	0	0	0	0	3
92	204	0	0.887430772	0	0	0	0	0	0	0	0	0	0	3
93	204	0	0.897076758	0	0	0	0	0	0	0	0	0	0	3
94	205	0	0.906722745	0	0	0	0	0	0	0	0	0	0	3
95	206	0	0.916368732	0	0	0	0	0	0	0	0	0	0	3
96	206	0	0.926014718	0	0	0	0	0	0	0	0	0	0	3
97	207	0	0.935660705	0	0	0	0	0	0	0	0	0	0	3
98	208	0	0.945306691	0	0	0	0	0	0	0	0	0	0	3
99	209	0	0.954952678	0	0	0	0	0	0	0	0	0	0	3
100	210	0	0.964598665	0	0	0	0	0	0	0	0	0	0	3
101	213	0	0.974244651	0	0	0	0	0	0	0	0	0	0	3
102	214	0	0.983890638	0	0	0	0	0	0	0	0	0	0	3
103	215	0	0.993536625	0	0	0	0	0	0	0	0	0	0	3
104	216	0	1.00318261	0	0	0	0	0	5e-06	0	0	0	0	3
105	217	0	1.0128286	0	0	0	0	0	5e-06	0	0	0	0	3
106	218	0	1.02247458	0	0	0	0	0	5e-06	0	0	0	0	3
107	219	0	1.03212057	0	0	0	0	0	5e-06	0	0	0	0	3
108	220	0	1.04176656	0	0	0	0	0	5e-06	0	0	0	0	3
109	221	0	1.05141254	0	0	0	0	0	5e-06	0	0	0	0	3
110	222	0	1.06105853	0	0	0	0	0	5e-06	0	0	0	0	3
111	223	0	1.07070452	0	0	0	0	0	5e-06	0	0	0	0	3
112	224	0	1.0803505	0	0	0	0	0	5e-06	0	0	0	0	3
113	224	0	1.08999649	0	0	0	0	0	5e-06	0	0	0	0	3
114	225	0	1.09964248	0	0	0	0	0	5e-06	0	0	0	0	3
115	225	0	1.10928846	0	0	0	0	0	5e-06	0	0	0	0	3
116	226	0	1.11893445	0	0	0	0	0	5e-06	0	0	0	0	3
117	227	0	1.12858044	0	0	0	0	0	5e-06	0	0	0	0	3
118	227	0	1.13822642	0	0	0	0	0	5e-06	0	0	0	0	3
119	228	0	1.14787241	0	0	0	0	0	5e-06	0	0	0	0	3
120	229	0	1.1575184	0	0	0	0	0	5e-06	0	0	0	0	3
121	229	0	1.16716438	0	0	0	0	0	5e-06	0	0	0	0	3
122	230	0	1.17681037	0	0	0	0	0	5e-06	0	0	0	0	3
123	231	0	1.18645636	0	0	0	0	0	5e-06	0	0	0	0	3
124	231	0	1.19610234	0	0	0	0	0	5e-06	0	0	0	0	3
125	232	0	1.20574833	0	0	0	0	0	5e-06	0	0	0	0	3
126	233	0	1.21539432	0	0	0	0	0	5e-06	0	0	0	0	3
127	233	0	1.2250403	0	0	0	0	0	5e-06	0	0	0	0	3
128	234	0	1.23468629	0	0	0	0	0	5e-06	0	0	0	0	3
129	234	0	1.24433228	0	0	0	0	0	5e-06	0	0	0	0	3
130	235	0	1.25397826	0	0	0	0	0	5e-06	0	0	0	0	3
131	236	0	1.26362425	0	0	0	0	0	5e-06	0	0	0	0	3
132	236	0	1.27327024	0	0	0	0	0	5e-06	0	0	0	0	3
133	237	0	1.28291622	0	0	0	0	0	5e-06	0	0	0	0	3
134	238	0	1.29256221	0	0	0	0	0	5e-06	0	0	0	0	3
135	238	0	1.3022082	0	0	0	0	0	5e-06	0	0	0	0	3
136	239	0	1.31185418	0	0	0	0	0	5e-06	0	0	0	0	3
137	240	0	1.32150017	0	0	0	0	0	5e-06	0	0	0	0	3
138	240	0	1.33114616	0	0	0	0	0	5e-06	0	0	0	0	3
139	241	0	1.34079214	0	0	0	0	0	5e-06	0	0	0	0	3
140	242	0	1.35043813	0	0	0	0	0	5e-06	0	0	0	0	3
141	242	0	1.36008412	0	0	0	0	0	5e-06	0	0	0	0	3
142	243	0	1.3697301	0	0	0	0	0	5e-06	0	0	0	0	3
143	244	0	1.37937609	0	0	0	0	0	5e-06	0	0	0	0	3
144	244	0	1.38902208	0	0	0	0	0	5e-06	0	0	0	0	3
145	245	0	1.39866806	0	0	0	0	0	5e-06	0	0	0	0	3
146	245	0	1.40831405	0	0	0	0	0	5e-06	0	0	0	0	3
147	246	0	1.41796004	0	0	0	0	0	5e-06	0	0	0	0	3
148	247	0	1.42760602	0	0	0	0	0	5e-06	0	0	0	0	3
149	247	0	1.43725201	0	0	0	0	0	5e-06	0	0	0	0	3
150	248	0	1.446898	0	0	0	0	0	5e-06	0	0	0	0	3
151	249	0	1.45654398	0	0	0	0	0	5e-06	0	0	0	0	3
152	249	0	1.46618997	0	0	0	0	0	5e-06	0	0	0	0	3
153	250	0	1.47583596	0	0	0	0	0	5e-06	0	0	0	0	3
154	250	0	1.48548194	0	0	0	0	0	5e-06	0	0	0	0	3
155	251	0	1.49512793	0	0	0	0	0	5e-06	0	0	0	0	3
156	252	0	1.50477392	0	0	0	0	0	5e-06	0	0	0	0	3
157	252	0	1.5144199	0	0	0	0	0	5e-06	0	0	0	0	3
158	253	0	1.52406589	0	0	0	0	0	5e-06	0	0	0	0	3
159	253	0	1.53371188	0	0	0	0	0	5e-06	0	0	0	0	3
160	254	0	1.54335786	0	0	0	0	0	5e-06	0	0	0	0	3
161	255	0	1.55300385	0	0	0	0	0	5e-06	0	0	0	0	3
162	255	0	1.56264984	0	0	0	0	0	5e-06	0	0	0	0	3
163	256	0	1.57229582	0	0	0	0	0	5e-06	0	0	0	0	3
164	256	0	1.58194181	0	0	0	0	0	5e-06	0	0	0	0	3
165	257	0	1.5915878	0	0	0	0	0	5e-06	0	0	0	0	3
166	258	0	1.60123378	0	0	0	0	0	5e-06	0	0	0	0	3
167	258	0	1.61087977	0	0	0	0	0	5e-06	0	0	0	0	3
168	259	0	1.62052576	0	0	0	0	0	5e-06	0	0	0	0	3
169	259	0	1.63017174	0	0	0	0	0	5e-06	0	0	0	0	3
170	260	0	1.63981773	0	0	0	0	0	5e-06	0	0	0	0	3
171	261	0	1.64946372	0	0	0	0	0	5e-06	0	0	0	0	3
172	262	0	1.6591097	0	0	0	0	0	5e-06	0	0	0	0	3
173	262	0	1.66875569	0	0	0	0	0	5e-06	0	0	0	0	3
174	263	0	1.67840168	0	0	0	0	0	5e-06	0	0	0	0	3
175	264	0	1.68804766	0	0	0	0	0	5e-06	0	0	0	0	3
176	265	0	1.69769365	0	0	0	0	0	5e-06	0	0	0	0	3
177	266	0	1.70733964	0	0	0	0	0	5e-06	0	0	0	0	3
178	266	0	1.71698562	0	0	0	0	0	5e-06	0	0	0	0	3
179	267	0	1.72663161	0	0	0	0	0	5e-06	0	0	0	0	3
180	268	0	1.7362776	0	0	0	0	0	5e-06	0	0	0	0	3
181	269	0	1.74592358	0	0	0	0	0	5e-06	0	0	0	0	3
182	270	0	1.75556957	0	0	0	0	0	5e-06	0	0	0	0	3
183	271	0	1.76521556	0	0	0	0	0	5e-06	0	0	0	0	3
184	272	0	1.77486154	0	0	0	0	0	5e-06	0	0	0	0	3
185	272	0	1.78450753	0	0	0	0	0	5e-06	0	0	0	0	3
186	273	0	1.79415352	0	0	0	0	0	5e-06	0	0	0	0	3
187	274	0	1.8037995	0	0	0	0	0	5e-06	0	0	0	0	3
188	275	0	1.81344549	0	0	0	0	0	5e-06	0	0	0	0	3
189	276	0	1.82309148	0	0	0	0	0	5e-06	0	0	0	0	3
190	276	0	1.83273746	0	0	0	0	0	5e-06	0	0	0	0	3
191	277	0	1.84238345	0	0	0	0	0	5e-06	0	0	0	0	3
192	278	0	1.85202944	0	0	0	0	0	5e-06	0	0	0	0	3
193	278	0	1.86167542	0	0	0	0	0	5e-06	0	0	0	0	3
194	279	0	1.87132141	0	0	0	0	0	5e-06	0	0	0	0	3
