Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00964598665	101328.522	101328.522	101328.522	101328.522	0	0	0	0	0	0	3
2	9	0	0.0192919733	101333.525	101331.023	101328.522	101333.525	2.50133972	0	0	0	0	0	3
3	11	0	0.0289379599	101336.593	101332.88	101328.522	101336.593	4.35801577	0	0	0	0	0	3
4	13	0	0.0385839466	101336.559	101333.8	101328.522	101336.593	5.27774751	0	0	0	0	0	3
5	14	0	0.0482299332	101333.554	101333.751	101328.522	101336.593	5.27774751	0	0	0	0	0	3
6	15	0	0.0578759199	101327.285	101332.673	101327.285	101336.593	5.27774751	0	0	0	0	0	3
7	15	0	0.0675219065	101323.118	101331.308	101323.118	101336.593	5.27774751	0	0	0	0	0	3
8	16	0	0.0771678932	101321.935	101330.136	101321.935	101336.593	5.27774751	0	0	0	0	0	3
9	17	0	0.0868138798	101322.555	101329.294	101321.935	101336.593	5.27774751	0	0	0	0	0	3
10	19	0	0.0964598665	101323.676	101328.732	101321.935	101336.593	5.27774751	0	0	0	0	0	3
11	20	0	0.106105853	101324.908	101328.385	101321.935	101336.593	5.41519911	0	0	0	0	0	3
12	20	0	0.11575184	101325.267	101328.125	101321.935	101336.593	5.67496244	0	0	0	0	0	3
13	22	0	0.125397826	101325.166	101327.897	101321.935	101336.593	5.90259035	0	0	0	0	0	3
14	23	0	0.135043813	101324.997	101327.69	101321.935	101336.593	6.10978042	0	0	0	0	0	3
15	25	0	0.1446898	101324.896	101327.504	101321.935	101336.593	6.29606636	0	0	0	0	0	3
16	27	0	0.154335786	101324.899	101327.341	101321.935	101336.593	6.45886223	0	0	0	0	0	3
17	28	0	0.163981773	101324.917	101327.198	101321.935	101336.593	6.60145158	0	0	0	0	0	3
18	30	0	0.17362776	101324.897	101327.071	101321.935	101336.593	6.72928391	0	0	0	0	0	3
19	32	0	0.183273746	101324.895	101326.956	101321.935	101336.593	6.84376624	0	0	0	0	0	3
20	33	0	0.192919733	101324.89	101326.853	101321.935	101336.593	6.94708332	0	0	0	0	0	3
21	35	0	0.20256572	101324.881	101326.759	101321.935	101336.593	7.04098035	0	0	0	0	0	3
22	37	0	0.212211706	101324.888	101326.674	101321.935	101336.593	7.12599977	0	0	0	0	0	3
23	38	0	0.221857693	101324.887	101326.596	101321.935	101336.593	7.20367008	0	0	0	0	0	3
24	40	0	0.23150368	101324.865	101326.524	101321.935	101336.593	7.27579091	0	0	0	0	0	3
25	41	0	0.241149666	101324.876	101326.458	101321.935	101336.593	7.34171378	0	0	0	0	0	3
26	43	0	0.250795653	101324.886	101326.398	101321.935	101336.593	7.40216497	0	0	0	0	0	3
27	45	0	0.260441639	101324.921	101326.343	101321.935	101336.593	7.45685607	0	0	0	0	0	3
28	46	0	0.270087626	101324.952	101326.293	101321.935	101336.593	7.50652377	0	0	0	0	0	3
29	48	0	0.279733613	101324.966	101326.248	101321.935	101336.593	7.55227554	0	0	0	0	0	3
30	50	0	0.289379599	101324.974	101326.205	101321.935	101336.593	7.59473618	0	0	0	0	0	3
31	53	0	0.299025586	101324.991	101326.166	101321.935	101336.593	7.63390078	0	0	0	0	0	3
32	56	0	0.308671573	101325.04	101326.131	101321.935	101336.593	7.66908813	0	0	0	0	0	3
33	59	0	0.318317559	101325.068	101326.098	101321.935	101336.593	7.70130233	0	0	0	0	0	3
34	62	0	0.327963546	101325.071	101326.068	101321.935	101336.593	7.731513	0	0	0	0	0	3
35	66	0	0.337609533	101325.068	101326.04	101321.935	101336.593	7.76009346	0	0	0	0	0	3
36	69	0	0.347255519	101325.087	101326.013	101321.935	101336.593	7.78655036	0	0	0	0	0	3
37	72	0	0.356901506	101325.106	101325.989	101321.935	101336.593	7.81107165	0	0	0	0	0	3
38	76	0	0.366547493	101325.099	101325.965	101321.935	101336.593	7.83447412	0	0	0	0	0	3
39	79	0	0.376193479	101325.102	101325.943	101321.935	101336.593	7.85661555	0	0	0	0	0	3
40	82	0	0.385839466	101325.11	101325.922	101321.935	101336.593	7.87745676	0	0	0	0	0	3
41	87	0	0.395485453	101325.123	101325.903	101321.935	101336.593	7.89694498	0	0	0	0	0	3
42	90	0	0.405131439	101325.128	101325.884	101321.935	101336.593	7.91540046	0	0	0	0	0	3
43	94	0	0.414777426	101325.117	101325.867	101321.935	101336.593	7.93325778	0	0	0	0	0	3
44	98	0	0.424423413	101325.097	101325.849	101321.935	101336.593	7.95075624	0	0	0	0	0	3
45	101	0	0.434069399	101325.083	101325.832	101321.935	101336.593	7.96777433	0	0	0	0	0	3
46	105	0	0.443715386	101325.073	101325.816	101321.935	101336.593	7.98428555	0	0	0	0	0	3
47	109	0	0.453361372	101325.078	101325.8	101321.935	101336.593	7.99997944	0	0	0	0	0	3
48	112	0	0.463007359	101325.094	101325.785	101321.935	101336.593	8.01468803	0	0	0	0	0	3
49	114	0	0.472653346	101325.112	101325.771	101321.935	101336.593	8.0284322	0	0	0	0	0	3
50	114	0	0.482299332	101325.144	101325.759	101321.935	101336.593	8.0409847	0	0	0	0	0	3
51	115	0	0.491945319	101325.163	101325.747	101321.935	101336.593	8.05266686	0	0	0	0	0	3
52	115	0	0.501591306	101325.183	101325.736	101321.935	101336.593	8.06352224	0	0	0	0	0	3
53	116	0	0.511237292	101325.18	101325.672	101321.935	101336.593	8.12779495	0	0	0	0	0	3
54	117	0	0.520883279	101325.135	101325.511	101321.935	101336.593	8.2891295	0	0	0	0	0	3
55	117	0	0.530529266	101325.09	101325.289	101321.935	101336.559	8.51034506	0	0	0	0	0	3
56	118	0	0.540175252	101325.068	101325.068	101321.935	101333.554	8.68224604	0	0	0	0	0	3
57	119	0	0.549821239	101325.07	101324.905	101321.935	101327.285	5.35059115	0	0	0	0	0	3
58	119	0	0.559467226	101325.067	101324.863	101321.935	101325.267	3.33282775	0	0	0	0	0	3
59	120	0	0.569113212	101325.068	101324.9	101321.935	101325.267	3.33282775	0	0	0	0	0	3
60	123	0	0.578759199	101325.078	101324.961	101322.555	101325.267	2.71291255	0	0	0	0	0	3
61	126	0	0.588405186	101325.094	101325.009	101323.676	101325.267	1.59102438	0	0	0	0	0	3
62	132	0	0.598051172	101325.109	101325.037	101324.865	101325.267	0.402210907	0	0	0	0	0	3
63	136	0	0.607697159	101325.107	101325.041	101324.865	101325.267	0.402210907	0	0	0	0	0	3
64	141	0	0.617343145	101325.098	101325.038	101324.865	101325.183	0.317423452	0	0	0	0	0	3
65	145	0	0.626989132	101325.11	101325.036	101324.865	101325.183	0.317423452	0	0	0	0	0	3
66	148	0	0.636635119	101325.138	101325.039	101324.865	101325.183	0.317423452	0	0	0	0	0	3
67	152	0	0.646281105	101325.169	101325.044	101324.865	101325.183	0.317423452	0	0	0	0	0	3
68	156	0	0.655927092	101325.181	101325.05	101324.865	101325.183	0.317423452	0	0	0	0	0	3
69	161	0	0.665573079	101325.162	101325.055	101324.865	101325.183	0.317423452	0	0	0	0	0	3
70	165	0	0.675219065	101325.138	101325.059	101324.865	101325.183	0.317423452	0	0	0	0	0	3
71	169	0	0.684865052	101325.109	101325.063	101324.865	101325.183	0.317423452	0	0	0	0	0	3
72	172	0	0.694511039	101325.085	101325.067	101324.865	101325.183	0.317423452	0	0	0	0	0	3
73	177	0	0.704157025	101325.08	101325.071	101324.865	101325.183	0.317423452	0	0	0	0	0	3
74	182	0	0.713803012	101325.077	101325.075	101324.865	101325.183	0.317423452	0	0	0	0	0	3
75	186	0	0.723448999	101325.082	101325.078	101324.865	101325.183	0.317423452	0	0	0	0	0	3
76	189	0	0.733094985	101325.104	101325.083	101324.876	101325.183	0.306716314	0	0	0	0	0	3
77	192	0	0.742740972	101325.145	101325.088	101324.886	101325.183	0.296298197	0	0	0	0	0	3
78	195	0	0.752386959	101325.165	101325.093	101324.921	101325.183	0.261678127	0	0	0	0	0	3
79	195	0	0.762032945	101325.148	101325.098	101324.952	101325.183	0.230405093	0	0	0	0	0	3
80	196	0	0.771678932	101325.116	101325.101	101324.966	101325.183	0.216178558	0	0	0	0	0	3
81	197	0	0.781324918	101325.089	101325.103	101324.974	101325.183	0.208948528	0	0	0	0	0	3
82	197	0	0.790970905	101325.082	101325.105	101324.991	101325.183	0.191692055	0	0	0	0	0	3
83	198	0	0.800616892	101325.08	101325.107	101325.04	101325.183	0.142749549	0	0	0	0	0	3
84	198	0	0.810262878	101325.078	101325.108	101325.067	101325.183	0.116101876	0	0	0	0	0	3
85	199	0	0.819908865	101325.078	101325.108	101325.067	101325.183	0.116101876	0	0	0	0	0	3
86	200	0	0.829554852	101325.086	101325.108	101325.067	101325.183	0.116101876	0	0	0	0	0	3
87	200	0	0.839200838	101325.104	101325.109	101325.067	101325.183	0.116101876	0	0	0	0	0	3
88	201	0	0.848846825	101325.102	101325.109	101325.067	101325.183	0.116101876	0	0	0	0	0	3
89	202	0	0.858492812	101325.073	101325.109	101325.067	101325.183	0.116101876	0	0	0	0	0	3
90	202	0	0.868138798	101325.053	101325.108	101325.053	101325.183	0.129518137	0	0	0	0	0	3
91	203	0	0.877784785	101325.054	101325.107	101325.053	101325.183	0.129518137	0	0	0	0	0	3
92	204	0	0.887430772	101325.072	101325.106	101325.053	101325.183	0.129518137	0	0	0	0	0	3
93	204	0	0.897076758	101325.088	101325.105	101325.053	101325.183	0.129518137	0	0	0	0	0	3
94	205	0	0.906722745	101325.096	101325.105	101325.053	101325.183	0.129518137	0	0	0	0	0	3
95	206	0	0.916368732	101325.13	101325.105	101325.053	101325.183	0.129518137	0	0	0	0	0	3
96	206	0	0.926014718	101325.158	101325.106	101325.053	101325.183	0.129518137	0	0	0	0	0	3
97	207	0	0.935660705	101325.187	101325.108	101325.053	101325.187	0.134093537	0	0	0	0	0	3
98	208	0	0.945306691	101325.18	101325.11	101325.053	101325.187	0.134093537	0	0	0	0	0	3
99	209	0	0.954952678	101325.137	101325.111	101325.053	101325.187	0.134093537	0	0	0	0	0	3
100	210	0	0.964598665	101325.089	101325.111	101325.053	101325.187	0.134093537	0	0	0	0	0	3
101	213	0	0.974244651	101325.062	101325.11	101325.053	101325.187	0.134093537	0	0	0	0	0	3
102	214	0	0.983890638	101325.063	101325.109	101325.053	101325.187	0.134093537	0	0	0	0	0	3
103	215	0	0.993536625	101325.068	101325.107	101325.053	101325.187	0.134093537	0	0	0	0	0	3
104	216	0	1.00318261	101325.06	101325.105	101325.053	101325.187	0.134093537	0.439764214	0	0	0	0	3
105	217	0	1.0128286	101325.063	101325.102	101325.053	101325.187	0.134093537	0.439764214	0	0	0	0	3
106	218	0	1.02247458	101325.074	101325.101	101325.053	101325.187	0.134093537	0.439764214	0	0	0	0	3
107	219	0	1.03212057	101325.098	101325.101	101325.053	101325.187	0.134093537	0.439764214	0	0	0	0	3
108	220	0	1.04176656	101325.103	101325.102	101325.053	101325.187	0.134093537	0.439764214	0	0	0	0	3
109	221	0	1.05141254	101325.078	101325.102	101325.053	101325.187	0.134093537	0.439764214	0	0	0	0	3
