Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.00964598665	293.200406	293.200406	293.200406	293.200406	0	0	0	0	0	0	3
2	9	0	0.0192919733	293.20102	293.200713	293.200406	293.20102	0.000307154365	0	0	0	0	0	3
3	11	0	0.0289379599	293.201335	293.20092	293.200406	293.201335	0.000514441731	0	0	0	0	0	3
4	13	0	0.0385839466	293.201201	293.20099	293.200406	293.201335	0.000584665892	0	0	0	0	0	3
5	14	0	0.0482299332	293.200664	293.200925	293.200406	293.201335	0.000584665892	0	0	0	0	0	3
6	15	0	0.0578759199	293.199682	293.200718	293.199682	293.201335	0.000584665892	0	0	0	0	0	3
7	15	0	0.0675219065	293.199083	293.200484	293.199083	293.201335	0.000584665892	0	0	0	0	0	3
8	16	0	0.0771678932	293.198954	293.200293	293.198954	293.201335	0.000697188219	0	0	0	0	0	3
9	17	0	0.0868138798	293.199083	293.200159	293.198954	293.201335	0.000831663835	0	0	0	0	0	3
10	19	0	0.0964598665	293.199262	293.200069	293.198954	293.201335	0.000921360372	0	0	0	0	0	3
11	20	0	0.106105853	293.199461	293.200014	293.198954	293.201335	0.000976624179	0	0	0	0	0	3
12	20	0	0.11575184	293.199512	293.199972	293.198954	293.201335	0.00101842711	0	0	0	0	0	3
13	22	0	0.125397826	293.199492	293.199935	293.198954	293.201335	0.00105531967	0	0	0	0	0	3
14	23	0	0.135043813	293.199466	293.199901	293.198954	293.201335	0.00108883327	0	0	0	0	0	3
15	25	0	0.1446898	293.199453	293.199872	293.198954	293.201335	0.00111871885	0	0	0	0	0	3
16	27	0	0.154335786	293.199461	293.199846	293.198954	293.201335	0.00114434889	0	0	0	0	0	3
17	28	0	0.163981773	293.199468	293.199824	293.198954	293.201335	0.00116657967	0	0	0	0	0	3
18	30	0	0.17362776	293.199465	293.199804	293.198954	293.201335	0.00118651463	0	0	0	0	0	3
19	32	0	0.183273746	293.199464	293.199786	293.198954	293.201335	0.00120441035	0	0	0	0	0	3
20	33	0	0.192919733	293.199462	293.19977	293.198954	293.201335	0.0012206229	0	0	0	0	0	3
21	35	0	0.20256572	293.199455	293.199755	293.198954	293.201335	0.0012356103	0	0	0	0	0	3
22	37	0	0.212211706	293.199454	293.199741	293.198954	293.201335	0.00124929329	0	0	0	0	0	3
23	38	0	0.221857693	293.199451	293.199728	293.198954	293.201335	0.0012619128	0	0	0	0	0	3
24	40	0	0.23150368	293.199443	293.199716	293.198954	293.201335	0.00127380403	0	0	0	0	0	3
25	41	0	0.241149666	293.199444	293.199706	293.198954	293.201335	0.0012847208	0	0	0	0	0	3
26	43	0	0.250795653	293.199446	293.199696	293.198954	293.201335	0.00129471701	0	0	0	0	0	3
27	45	0	0.260441639	293.199457	293.199687	293.198954	293.201335	0.00130356771	0	0	0	0	0	3
28	46	0	0.270087626	293.199471	293.199679	293.198954	293.201335	0.00131125494	0	0	0	0	0	3
29	48	0	0.279733613	293.199484	293.199672	293.198954	293.201335	0.00131798857	0	0	0	0	0	3
30	50	0	0.289379599	293.199492	293.199666	293.198954	293.201335	0.0013240019	0	0	0	0	0	3
31	53	0	0.299025586	293.19951	293.199661	293.198954	293.201335	0.00132904273	0	0	0	0	0	3
32	56	0	0.308671573	293.199535	293.199657	293.198954	293.201335	0.00133300175	0	0	0	0	0	3
33	59	0	0.318317559	293.199554	293.199654	293.198954	293.201335	0.00133612925	0	0	0	0	0	3
